机构ID	机构名称	报表时间	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu
72	上海市应昌期围棋教育基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	100000	0	10426001.6		0	90000	0	286674.24	10902675.84	9589031.7	995398.45	0	3838.94	10588269.09	0		314406.75
73	上海市建国社会公益基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	48549.32	0	0		0	0	5317366.61	2706884.39	8072800.32	5187721	1946697.31	0	532301.27	7666719.58	0		406080.74
74	上海市徐汇区教育基金会	2013	5831790.8	0	0		0	0	0	0	5831790.8	3444255.1	0	0	0	3444255.1	0		2387535.7	20000	0	0		0	0	0	455741.56	475741.56	1003421.8	22072.7	0	0	1025494.5	0		-549752.94
75	上海市慈善基金会	2013	643449537.29	0	0		0	12920000	7398788.77	0	663768326.06	478499644.39	24302	7255671.2	0	485779617.59	13465022.79		164523685.68	100221846.63	0	0		0	12485680	42497361.27	24426274.64	179631162.54	104605003.95	20393111.56	9229752.54	71755.23	134299623.28	-13465022.79		58796562.05
76	上海市拥军优属基金会	2013	3260000	0	0		0	15812680	0	0	19072680	13473795.29	0	0	0	13473795.29	2412000		3186884.71	79323996.32	0	0		0	29646671.52	11335084.83	1561182.3	121866934.97	15418848.99	1137825.14	16992.5	4004785.5	20578452.13	-2412000		103700482.84
77	上海市教育发展基金会	2013	17425387.63	0	0		0	0	0	0	17425387.63	9419283.6	0	0	0	9419283.6	0		8006104.03	791656	0	7244748.16		0	0	16659740.18	86678.23	24782822.57	19723489.61	0	0	0	19723489.61	0		2112796.49
78	上海市普陀区教育奖励基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	2000000	0	0		0	0	0	23698.86	2023698.86	454370	46201	0	0	500571	0		1523127.86
79	上海市杨浦区教育奖励基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	300000	0	108128.69	408128.69	301137.81	30000	0	0	331137.81	0		76990.88
80	上海市残疾人福利基金会	2013	5404037	0	0		0	0	0	0	5404037	0	0	0	0	0	2278999.26		3125037.74	8271453.56	0	0		0	0	0	241163.67	8512617.23	11006714.09	757490.7	0	0	11764204.79	-2278999.26		-972588.3
81	上海市民帮困互助基金会	2013	0	0	0		0	475000	0	0	475000	475000	0	0	0	475000	0		0	48329214.01	0	0		0	0	2922391.61	1628074.61	52879680.23	45590462.3	947806	66000	0	46604268.3	0		6275411.93
82	上海市浦东新区教育发展基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	200000	0	0		0	0	0	526143.55	726143.55	778579.5	80608.11	0	0	859187.61	0		-133044.06
83	上海市爱心帮教基金会	2013	1363405.97	0	0		0	0	0	0	1363405.97	0	0	0	0	0	1528950		-165544.03	425033.95	0	0		0	0	0	7883.55	432917.5	1691480	60378.37	0	4124.6	1755982.97	-1528950		205884.53
84	上海市甬协公益基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	642400	0	0		0	0	0	0	642400	653484	63833.2	-1575.92	0	715741.28	0		-73341.28
85	上海市科普基金会	2013	100000	0	0		0	0	0	0	100000	0	0	0	0	0	0		100000	0	0	0		0	0	0	0	0	392748.63	31407	-69729.77	0	354425.86	0		-354425.86
86	上海市老年基金会	2013	23532065	0	0		0	7300000	0	0	30832065	17626183.4	0	0	0	17626183.4	0		13205881.6	36088088.62	0	0		0	39163355.5	10649819.17	3859200.86	89760464.15	78422600.34	3799104.32	114178.89	72658.2	82408541.75	0		7351922.4
87	上海市职工帮困基金会	2013	3000000	0	0		0	2000000	0	0	5000000	0	0	0	0	0	5351854		-351854	403997.18	0	0		0	26020000	0	2252078.98	28676076.16	32045354	131327.28	0	0	32176681.28	-5351854		1851248.88
88	上海市自然与健康基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	24129	0	0		0	0	45911.07	20612.78	90652.85	872270	98922.1	0	1082.5	972274.6	0		-881621.75
89	上海市虹口区教育基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	55608	154364.73	209972.73	236017	5559.2	0	0	241576.2	0		-31603.47
90	上海市长宁区教育基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	2777533.58	0	0		0	0	0	5265735.11	8043268.69	3189124.8	211288.83	0	0	3400413.63	0		4642855.06
91	上海市闵行区中小幼教师奖励基金会	2013	1100000	0	0		0	0	0	0	1100000	750897	0	0	0	750897	0		349103	40000	0	0		0	0	836267	8751.66	885018.66	727345	112271.2	0	1176	840792.2	0		44226.46
92	上海市闸北区教育基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	376698.51	376698.51	428565	71737	0	0	500302	0		-123603.49
93	上海市防癌抗癌事业发展基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	171000	0	0		0	0	0	0	171000	474458	30459.1	-109603.21	0	395313.89	0		-224313.89
94	上海市青少年发展基金会	2013	143443702	0	0		0	0	0	0	143443702	18272222.42	0	0	0	18272222.42	0		125171479.58	0	0	0		0	0	1468279.8	988585.7	2456865.5	0	766062.62	0	0	766062.62	0		1690802.88
95	上海市青年创业就业基金会	2013	440802.5	0	0		0	0	0	0	440802.5	0	0	0	0	0	52730		388072.5	1210229.3	0	0		621.7	0	506279.44	62718.59	1779849.03	714727.7	69907.01	0	0	784634.71	-52730		1047944.32
96	上海市青浦区教育基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	2373000	0	5207165		0	0	0	1124258.66	8704423.66	6479786.77	308746.8	0	0	6788533.57	0		1915890.09
97	上海市静安区教育基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	607709.24	607709.24	550004.78	24862.4	0	0	574867.18	0		32842.06
98	上海市黄浦区教育基金会	2013	0	0	0		0	0	0	0	0	291136	0	0	0	291136	-43610		-247526	0	0	0		0	0	3221548.69	310032.91	3531581.6	6045180.4	339537.72	0	0	6384718.12	43610		-2896746.52
99	上海师范大学教育发展基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	6472751.17	0	53190.6		0	0	0	0	6525941.77	3006318.28	62339.1	-392202.53	0	2676454.85	0		3849486.92
100	上海应用技术学院教育发展基金会	2013	2100000	0	0		0	0	0	84368.43	2184368.43	30000	0	0	0	30000	0		2154368.43	15000	0	0		0	0	0	21275.19	36275.19	0	5292.5	718	0	6010.5	0		30264.69
101	上海志成公益基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	2000000	0	0		0	0	0	5480.85	2005480.85	100000	0	0	210	100210	0		1905270.85
102	上海思麦公益基金会	2013	1159060.31	0	0		0	0	0	0	1159060.31	796996.9	0	0	0	796996.9	0		362063.41	300000	0	0		0	0	0	111440.61	411440.61	180000	66641.49	2234.98	0	248876.47	0		162564.14
103	上海恩德公益基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	4001000	0	0		0	0	0	0	4001000	1064239	33024	-15950.52	0	1081312.48	0		2919687.52
104	上海慈慧公益基金会	2013	6592483.15	0	0		0	0	0	0	6592483.15	4008012.72	0	0	0	4008012.72	0		2584470.43	1143967.47	0	0		0	0	248981.91	2001.69	1394951.07	457166.96	412158.29	36777.39	0	906102.64	0		488848.43
105	上海慈源爱心基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	160000	0	0		0	0	0	9.08	160009.08	160000	3180	0	0	163180	0		-3170.92
106	上海文化发展基金会	2013	23884005	0	0		0	65673750	0	8239706.89	97797461.89	91323286.4	1789.5	0	0	91325075.9	0		6472385.99	0	0	0		0	8680000	0	150602.53	8830602.53	6955687.96	5141820.59	0	41106.43	12138614.98	0		-3308012.45
107	上海文学发展基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	789000	0	0		0	0	762137.06	1050.22	1552187.28	913353.38	94189.78	0	3000	1010543.16	0		541644.12
109	上海新建桥老龄事业发展基金会	2013	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	11433.2	0	1065240		0	0	0	0	1076673.2	352653	9515	0	-6480.55	355687.45	0		720985.75
