机构ID	机构名称	报表时间	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_oid	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
2577	湖南省娄底市慈善基金会	2013	4142411.05	4142411.05	4142411.05	0	0	0	0	0	0	0	0	0	0	0	0	0		1984693.72	1863843	42328.31	55330.61							
2578	湖南省宁乡一中教育基金会	2013	117000	117000	0	117000	0	0	0	0	0	0	0	0	0	0	0	0		707809.11	706562	0	1247.11							
2579	湖南省宜章县教育基金会	2013	2268520	2268520	1187835	1080685	0	0	0	0	0	0	0	0	0	0	0	0		2558283.5	2483081	38640	25914							
2580	湖南省岳阳经济技术开发区教育基金会	2013	4000000	4000000	0	4000000	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0							
2581	湖南省常德职业技术学院教育基金会	2013	795000	795000	0	795000	0	0	0	0	0	0	0	0	0	0	0	0		714104	660000	0	54104							
2582	湖南省平江县教育基金会	2013	5481150.2	5481150.2	3534250.2	1946900	0	0	0	0	0	0	0	0	0	0	0	0		2049503.81	1918690	6000	23249.77							
2583	湖南省广益实验中学教育基金会	2013	960000	960000	960000	0	0	0	0	0	0	0	0	0	0	0	0	0		607611	606030	0	1581							
2584	湖南省张家界永定区教育基金会	2013	898651.5	898651.5	0	898651.5	0	0	0	0	0	0	0	0	0	0	0	0		1218757.34	1148522	0	70235.34							
2585	湖南省徐特立教育基金会	2013	766000	766000	66000	700000	0	0	0	0	0	0	0	0	0	0	0	0		125190.5	103530	9200	1072							
2586	湖南省志愿服务基金会	2013	2162163.85	2162163.85	70777.5	2091386.35	0	0	0	0	0	0	0	0	0	0	0	0		2746784.39	2699730.62	65194	118149.06							
2587	湖南省扶贫基金会	2013	1650000	1650000	0	1650000	0	0	0	0	0	0	0	0	0	0	0	0		2208883.8	2208883.8	0	0							
2588	湖南省教育基金会	2013	14058500	14058500	2000	14056500	0	0	0	0	0	0	0	0	0	0	0	0		13270525.97	13057329.5	52574	131493.4							
2589	湖南省文艺创作扶助基金会	2013	1000000	1000000	0	1000000	0	0	0	0	0	0	0	0	0	0	0	0		813567.5	813567.5	0	0							
2590	湖南省新闻出版发展基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		955871.8	902307	42300	11083							
2591	湖南省株洲长鸿实验学校教育发展基金会	2013	1568534.5	1568534.5	1379534.5	189000	0	0	0	0	0	0	0	0	0	0	0	0		1138164	1124292	0	13872							
2592	湖南省桂东县教育基金会	2013	1625881.1	1625881.1	1625881.1	0	0	0	0	0	0	0	0	0	0	0	0	0		1780018.67	1655061.17	43380	44098							
2593	湖南省桂阳县教育基金会	2013	1977831.5	1977831.5	1977831.5	0	0	0	0	0	0	0	0	0	0	0	0	0		2679834	2590804	72600	16430							
2594	湖南省楚源医学教育基金会	2013	250501.5	250501.5	0	250501.5	0	0	0	0	0	0	0	0	0	0	0	0		243900	240000	0	1500							
2595	湖南省步步高福光慈善基金会	2013	1686936	1686936	1686936	0	0	0	0	0	0	0	0	0	0	0	0	0		902452.68	882500	0	19952.68							
2596	湖南省汉寿县第一中学教育基金会	2013	1276500	1276500	1276500	0	0	0	0	0	0	0	0	0	0	0	0	0		510165.13	478950	0	31215.13							
2597	湖南省泸溪县教育基金会	2013	597380.7	597380.7	397380.7	200000	0	0	0	0	0	0	0	0	0	0	0	0		538201.54	510000	4000	24201.54							
2598	湖南省浏阳市教育基金会	2013	595535.44	595535.44	595535.44	0	0	0	0	0	0	0	0	0	0	0	0	0		2412188	2366388	45800	0							
2599	湖南省浏阳市淮川街道教育基金会	2013	1118720	1118720	1118720	0	0	0	0	0	0	0	0	0	0	0	0	0		957969.65	945569.65	12400	0							
