ricf_oid	ba_cn	nacao_uscc	name_set
198	中国交响乐发展基金会	53100000500016623H	中国交响乐发展基金会
199	中国京剧艺术基金会	53100000500009693N	中国京剧艺术基金会
200	中国人口福利基金会	53100000500007612W	中国人口福利基金会
201	中国人寿慈善基金会	53100000500020446X	中国人寿慈善基金会#国寿慈善基金会
202	中国人权发展基金会	531000005000167703	中国人权发展基金会
203	中国企业管理科学基金会	5310000050000709XN	中国企业管理科学基金会
204	中国传媒大学南广学院教育发展基金会	53320000509158273D	中国传媒大学南广学院教育发展基金会
205	中国保护消费者基金会	53100000500010301W	中国保护消费者基金会
206	中国健康促进基金会	53100000500020358F	中国健康促进基金会
207	中国儿童少年基金会	531000005000090795	中国儿童少年基金会
208	中国光华科技基金会	53100001500014572X	中国光华科技基金会
209	中国光彩事业基金会	53100000500019816T	中国光彩事业基金会
210	中国公安民警英烈基金会	531000005000192772	中国公安民警英烈基金会
211	中国关心下一代健康体育基金会	53100000500019373B	中国关心下一代健康体育基金会
212	中国农业大学教育基金会	531000005000215292	中国农业大学教育基金会
213	中国出生缺陷干预救助基金会	53100000717829801T	中国出生缺陷干预救助基金会
214	中国初级卫生保健基金会	531000005000185302	中国初级卫生保健基金会
215	中国医学基金会	5310000050001146XN	中国医学基金会
216	中国医药卫生事业发展基金会	531000005000199717	中国医药卫生事业发展基金会
217	中国华侨公益基金会	53100000500011291P	中国华侨公益基金会#中国华侨经济文化基金会
218	中国华夏文化遗产基金会	5310000050002069XM	中国华夏文化遗产基金会
219	中国华文教育基金会	53100000500019605B	中国华文教育基金会
220	中国博士后科学基金会	53100000500012315Q	中国博士后科学基金会
221	中国友好和平发展基金会	53100000500018020L	中国友好和平发展基金会
222	中国发展研究基金会	5310000050001859X2	中国发展研究基金会
223	中国古生物化石保护基金会	5310000050002122XY	中国古生物化石保护基金会
224	中国听力医学发展基金会	53100000500017757X	中国听力医学发展基金会
225	中国和平发展基金会	53100000717828673M	中国和平发展基金会
226	中国国际战略研究基金会	53100000500007225G	中国国际战略研究基金会
227	中国国际文化交流基金会	53100000500007890A	中国国际文化交流基金会
228	中国国际问题研究基金会	53100000500018661X	中国国际问题研究基金会
229	中国地质大学(武汉)教育发展基金会	5342000050358989XC	中国地质大学(武汉)教育发展基金会
230	中国妇女发展基金会	53100000500012016T	中国妇女发展基金会
231	中国孔子基金会	53100000500016682L	中国孔子基金会
232	中国宋庆龄基金会	13100000500010213J	中国宋庆龄基金会
233	中国少年儿童文化艺术基金会	531000005000080337	中国少年儿童文化艺术基金会
234	中国民族文化艺术基金会	53100000500008711N	中国少数民族文化艺术基金会#中国民族文化艺术基金会
235	中国志愿服务基金会	53100000500021318J	中国志愿服务基金会
236	中国扶贫基金会	5310000050000784XY	中国扶贫基金会
237	中国拥军优属基金会	53100000500020876P	中国拥军优属基金会
238	中国教师发展基金会	53100000500019066J	中国中小学幼儿教师奖励基金会#中国教师发展基金会
239	中国教育发展基金会	53100000500019998Y	中国教育发展基金会
240	中国敦煌石窟保护研究基金会	5310000050001744X0	中国敦煌石窟保护研究基金会
241	中国文学艺术基金会	531000005000158070	中国文学艺术基金会
242	中国文物保护基金会	5310000050001031XL	中国文物保护基金会
243	中国检察官教育基金会	53100000500013991X	中国检察官教育基金会
244	中国残疾人福利基金会	53100000500013588U	中国残疾人福利基金会
245	中国民航科普基金会	53100000500020032R	中国民航科普基金会
246	中国治理荒漠化基金会	531000005000202514	中国治理荒漠化基金会
247	中国法学交流基金会	53100000500013334Y	中国法学交流基金会
248	中国法律援助基金会	53100000500018549Y	中国法律援助基金会
249	中国海油海洋环境与生态保护公益基金会	53100000717833552E	中国海油海洋环境与生态保护公益基金会#中国海油公益基金会
250	中国煤矿尘肺病防治基金会	53100000500019330X	中国煤矿尘肺病治疗基金会#中国煤矿尘肺病防治基金会
251	中国煤矿文化宣传基金会	53100000500010379W	中国煤矿文化宣传基金会
252	中国牙病防治基金会	531000005000161727	中国牙病防治基金会
253	中国生物多样性保护与绿色发展基金会	53100000500009167K	中国生物多样性保护基金会#中国生物多样性保护与绿色发展基金会
254	中国电影基金会	5310000050000688XU	中国电影基金会
255	中国留学人才发展基金会	531000005000203745	中国留学人才发展基金会
256	中国癌症基金会	53100000500009474C	中国癌症基金会
257	中国益民文化建设基金会	53100000500014978Q	中国益民文化建设基金会
258	中国矿业大学教育发展基金会	5332000050915909XU	中国矿业大学教育发展基金会
259	中国社会福利基金会	53100000500019795A	中国社会福利教育基金会#中国社会福利基金会
260	中国禁毒基金会	53100000500018688M	中国禁毒基金会
261	中国科学技术大学教育基金会	5334000074676594XQ	中国科学技术大学教育基金会
262	中国科技馆发展基金会	531000005000069352	中国科学技术发展基金会#中国科技馆发展基金会
263	中国移动慈善基金会	531000005000214654	中国移动慈善基金会
264	中国红十字基金会	531000005000160090	中国红十字基金会
265	中国经济改革研究基金会	531000005000184776	中国经济改革研究基金会
266	中国绿化基金会	531000005000069277	中国绿化基金会
267	中国绿色碳汇基金会	531000005000218798	中国绿色碳汇基金会
268	中国老龄事业发展基金会	531000005000081643	中国老龄事业发展基金会
269	中国职工发展基金会	53100000500016922F	中国职工发展基金会
270	中国肝炎防治基金会	5310000050001867XM	中国肝炎防治基金会
271	中国航天基金会	53100000500017546E	中国航天基金会
272	中国艺术节基金会	53100000500007268X	中国艺术节基金会
273	中国西部人才开发基金会	53100000500020278U	中国西部人才开发基金会
274	中国金融教育发展基金会	53100000500010272H	中国金融教育发展基金会
275	中国青少年发展基金会	531000005000074878	中国青少年发展基金会
276	中国青年创业就业基金会	53100000500020294H	中国青年创业就业基金会#中国青少年社会教育基金会
277	中国预防性病艾滋病基金会	531000005000094827	中国预防性病艾滋病基金会
278	中国马克思主义研究基金会	53100000500714245N	中国马克思主义研究基金会
279	中央财经大学教育基金会	53100000500021617G	中央财经大学教育基金会
280	中山市职工解困基金会	534400007629107136	中山市职工解困基金会
281	中方县康龙助学基金会	53430000597573177T	中方县康龙助学基金会
282	中社社会工作发展基金会	53100000717829000A	中社社会工作发展基金会
283	中国科学院大学教育基金会	531000005000215960	中科院研究生教育基金会#中国科学院大学教育基金会
284	中远海运慈善基金会	53100000500019947N	中远海运慈善基金会#中远慈善基金会
285	丰县见义勇为基金会	53320000509160971W	丰县见义勇为基金会
286	临安市见义勇为奖励基金会	53330000774388299Q	临安市见义勇为奖励基金会
287	临沂市见义勇为基金会	53370000MJD676257X	临沂市见义勇为基金会
288	临海市人民教育基金会	53330000501883454H	临海市人民教育基金会
289	临高县教育基金会	534600007742929081	临高县教育基金会
290	丹东市公安民警救助基金会	532100006994174238	丹东市公安民警救助基金会
291	丹阳市见义勇为基金会	5332000050915802XD	丹阳市见义勇为基金会
292	丽水学院教育基金会	53330000A93376914J	丽水学院教育基金会
293	丽水市人民教育基金会	53330000780475698T	丽水市人民教育基金会
294	丽水市莲都区人民教育基金会	53330000501872659D	丽水市莲都区人民教育基金会
295	乌兰夫基金会	53150000MJ2227347Y	乌兰夫基金会
296	乌兰察布市教育发展基金会	53150000061621505H	乌兰察布市教育发展基金会
297	乌兰察布市残疾人福利基金会	53150900067542103C	乌兰察布市残疾人福利基金会
298	乌兰浩特市城乡困难群众大病医疗救助基金会	53152200573263318X	乌兰浩特市城乡困难群众大病医疗救助基金会
299	乌兰浩特市扶贫基金会	531500000755747971	乌兰浩特市扶贫基金会
300	乐山市关心下一代基金会	5351000006032850XT	乐山市关心下一代基金会
301	乐山市教育基金会	53510000504650568A	乐山市教育基金会
302	乐清市社会组织发展基金会	53330000A93376279G	乐清市社会组织发展基金会
303	乐至县教育基金会	535100005228075494	乐至县教育基金会
304	九江市兆龙教育基金会	53360000792815784R	九江市兆龙教育基金会
305	九江市教育基金会	53360000563835343L	九江市教育基金会
306	九江银行敬老爱幼慈善基金会	53360000079041293Q	九江银行敬老爱幼慈善基金会
307	云南三益文化国防基金会	535300005501068892	云南三益文化国防基金会
308	云南东陆教育发展基金会	53530000059491959W	云南东陆教育发展基金会
309	云南中美二战国际友谊基金会	5353000079723863X2	云南中美二战国际友谊基金会
310	云南农业大学有勇奖学基金会	53530000056954006C	云南农业大学有勇奖学基金会
311	云南华商公益基金会	53530000574651291L	云南华商公益基金会
312	云南厚德教育基金会	53530000067124876D	云南厚德教育基金会
313	云南同行公益基金会	5353000006983576XB	云南同行公益基金会
314	云南君仁博爱基金会	5353000056880540XF	云南君仁博爱基金会
315	云南启晨生命生存生活教育基金会	5353000057980359X8	云南启晨生命生存生活教育基金会
316	云南启航教育基金会	53530000072459742E	云南启航教育基金会
317	云南和谊公益基金会	53530000075259738D	云南和谊公益基金会
318	云南国际文化交流基金会	535300005183751734	云南国际文化交流基金会
319	云南士恒教育基金会	5353000069569196XL	云南士恒教育基金会
320	云南大理白族自治州扶贫基金会	535300005183609671	云南大理白族自治州扶贫基金会
321	云南大益爱心基金会	53530000668269448R	云南大益爱心基金会
322	云南孝尊教育基金会	53530000052224583M	云南孝尊教育基金会
323	云南宝华福田慈善基金会	53530000069827903N	云南宝华福田慈善基金会
324	云南慧邦尼公益基金会	5353000008044783X6	云南慧邦尼公益基金会
325	云南振英润云公益基金会	53530000086384331Y	云南振英润云公益基金会
326	云南教育基金会	53530000518360086W	云南教育基金会
327	云南民族文化发展基金会	5353000051836030XW	云南民族文化发展基金会
