机构ID	机构名称	捐赠收入_限定	会费收入_限定	提供服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fa_dine	fa_asine	fa_sine	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_nechu
244	中国残疾人福利基金会	490426470.58	0	0	0	4000000	0	0	494426470.58	465864708.66	0	0	0	465864708.66	0	28561761.92	19373.65	0	0	0	0	4479067.64	40672624.43	45171065.72	1844431.5	10870915.06	-1181118.63	265383.34	11799611.27	0	33371454.45
245	中国民航科普基金会	500000	0	2320754.65	0	0	0	0	2820754.65	0	0	0	0	0	-7641880.12	-4821125.47	0	0	0	0	0	0	439560.36	439560.36	7641880.12	658486.32	0	0	8300366.44	7641880.12	-218925.96
246	中国治理荒漠化基金会	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000000	0	0	0	0	0	120.76	5000120.76	7536392.54	179837.97	0	0	7716230.51	0	-2716109.75
247	中国法学交流基金会	4643301	0	0	0	0	0	0	4643301	0	0	0	0	0	-2923402.35	1719898.65	0	0	0	0	0	0	31044.58	31044.58	2923402.35	288660.9	-340.98	8879.29	3220601.56	2923402.35	-266154.63
248	中国法律援助基金会	11052922.47	0	0	0	0	0	0	11052922.47	1000000	0	0	0	1000000	0	-114079695.48	8412090	0	0	0	0	0	1323375.3	9735465.3	122113987.01	4874950.54	894337.25	0	127883274.8	0	114079695.48
249	中国海油海洋环境与生态保护公益基金会	50004200	0	0	0	0	0	0	50004200	0	0	0	0	0	-50000000	4200	41000000	0	0	0	0	36086362.49	1016102.56	78102465.05	110089577	594769.89	0	1226908.98	111911255.87	50000000	16191209.18
250	中国煤矿尘肺病防治基金会	2920000	0	0	0	1500000	0	0	4420000	8334646.4	0	0	0	8334646.4	771000	-3143646.4	320498.76	0	0	0	0	447480.82	718016.07	1485995.65	2693490.94	382761.42	0	0	3076252.36	-771000	-2361256.71
251	中国煤矿文化宣传基金会	1000000	0	0	0	0	0	0	1000000	0	0	0	0	0	-524018.5	475981.5	0	0	0	0	0	706505.35	8421.54	714926.89	978176.16	26719.43	0	0	1004895.59	524018.5	234049.8
252	中国牙病防治基金会	2077454.1	0	0	0	1000000	0	0	3077454.1	0	0	0	0	0	-3374343.45	-296889.35	1450	0	0	0	0	0	194318.65	195768.65	3409143.45	166318.55	-328.38	2663.75	3577797.37	3374343.45	-7685.27
253	中国生物多样性保护与绿色发展基金会	11703438.4	0	0	0	1200000	0	0	12903438.4	4775075.52	0	0	0	4775075.52	-4902790.78	8000647.62	64002.77	0	166749.2	0	0	3703.71	444677.99	679133.67	915197.61	377754.02	1323.7	1101	1295376.33	4902790.78	-488527.4
254	中国电影基金会	8991358.52	0	0	0	2000000	0	0	10991358.52	0	0	0	0	0	-7026440.97	3964917.55	947000	0	0	0	3600000	436775.31	14383.4	4998158.71	10333724.65	1088546.15	0	0	11422270.8	7026440.97	602328.88
