,ba_cn,fa_accoe_last,fa_accoe_this,fa_accos_last,fa_accos_this,fa_accou_last,fa_accou_this,fa_adexe_last,fa_adexe_this,fa_adexs_last,fa_adexs_this,fa_adexu_last,fa_adexu_this,fa_asine_last,fa_asine_this,fa_asins_last,fa_asins_this,fa_asinu_last,fa_asinu_this,fa_cotoe_last,fa_cotoe_this,fa_cotos_last,fa_cotos_this,fa_cotou_last,fa_cotou_this,fa_dine_last,fa_dine_this,fa_dins_last,fa_dins_this,fa_dinu_last,fa_dinu_this,fa_etoue_last,fa_etoue_this,fa_etous_last,fa_etous_this,fa_etouu_last,fa_etouu_this,fa_fuexe_last,fa_fuexe_this,fa_fuexs_last,fa_fuexs_this,fa_fuexu_last,fa_fuexu_this,fa_gine_last,fa_gine_this,fa_gins_last,fa_gins_this,fa_ginu_last,fa_ginu_this,fa_gse_last,fa_gse_this,fa_gss_last,fa_gss_this,fa_gsu_last,fa_gsu_this,fa_inine_last,fa_inine_this,fa_inins_last,fa_inins_this,fa_ininu_last,fa_ininu_this,fa_intoe_last,fa_intoe_this,fa_intos_last,fa_intos_this,fa_intou_last,fa_intou_this,fa_neche_last,fa_neche_this,fa_nechs_last,fa_nechs_this,fa_nechu_last,fa_nechu_this,fa_otexe_last,fa_otexe_this,fa_otexs_last,fa_otexs_this,fa_otexu_last,fa_otexu_this,fa_otine_last,fa_otine_this,fa_otins_last,fa_otins_this,fa_otinu_last,fa_otinu_this,fa_pine_last,fa_pine_this,fa_pins_last,fa_pins_this,fa_pinu_last,fa_pinu_this,fa_sine_last,fa_sine_this,fa_sins_last,fa_sins_this,fa_sinu_last,fa_sinu_this,fp_yr,name,ricf_oid
90,重庆市急救医疗救助基金会,0.00,0.00,"1,025,628.00","914,825.40","1,025,628.00","914,825.40",0.00,0.00,"111,831.99","93,616.92","111,831.99","93,616.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,142,501.99","1,013,169.32","1,142,501.99","1,013,169.32",0.00,0.00,"2,200.00",200.00,"2,200.00",200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,042.00","4,727.00","5,042.00","4,727.00",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"140,183.65","64,933.81","140,183.65","64,933.81",0.00,0.00,"-1,002,318.34","-948,235.51","-1,002,318.34","-948,235.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"137,983.65","64,733.81","137,983.65","64,733.81",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,重庆市急救医疗救助基金会,3408.0
91,辽宁省大连理工大学教育发展基金会,0.00,0.00,"20,944,892.66","18,748,342.49","20,944,892.66","18,748,342.49",0.00,0.00,"376,694.33","335,153.51","376,694.33","335,153.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,364,956.75","19,170,200.67","21,364,956.75","19,170,200.67","13,715,448.95","23,518,840.22","31,302,437.66","29,216,051.23","17,586,988.71","5,697,211.01","-11,400,026.66","-7,314,220.54",0.00,0.00,"11,400,026.66","7,314,220.54",0.00,0.00,"43,369.76","86,704.67","43,369.76","86,704.67",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,"13,715,448.95","23,518,840.22","32,402,756.78","30,157,132.60","18,687,307.83","6,638,292.38","2,315,422.29","16,204,619.68","11,037,800.03","10,986,931.93","8,722,377.74","-5,217,687.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,100,319.12","941,081.37","1,100,319.12","941,081.37",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,辽宁省大连理工大学教育发展基金会,3013.0
92,实事助学基金会,0.00,0.00,"1,881,500.00","3,257,806.29","1,881,500.00","3,257,806.29",0.00,0.00,"150,814.70","95,061.90","150,814.70","95,061.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,033,187.17","3,352,868.19","2,033,187.17","3,352,868.19",0.00,0.00,"15,218,807.80","392,000.00","15,218,807.80","392,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,2053929.65,2901642.28,2053929.65,2901642.28,0.00,0.00,"17,275,419.28","3,294,985.97","17,275,419.28","3,294,985.97",0.00,0.00,"15,242,232.11","-57,882.22","15,242,232.11","-57,882.22",0.00,0.00,872.47,0.00,872.47,0.00,0.00,0.00,"2,681.83","1,343.69","2,681.83","1,343.69",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,实事助学基金会,1256.0
93,浙江省职工送温暖基金会,0.00,0.00,"140,000.00","101,000.00","140,000.00","101,000.00",0.00,0.00,"2,380.00","2,401.00","2,380.00","2,401.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"142,380.00","103,401.00","142,380.00","103,401.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"2,201.66",553.36,"2,201.66",553.36,0.00,0.00,"-140,178.34","-102,847.64","-140,178.34","-102,847.64",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,201.66",553.36,"2,201.66",553.36,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,浙江省职工送温暖基金会,2302.0
94,山东省企联企业管理科学基金会,0.00,0.00,"161,960.00","230,297.00","161,960.00","230,297.00",0.00,0.00,"63,100.00","13,260.00","63,100.00","13,260.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"225,060.00","243,557.00","225,060.00","243,557.00",0.00,0.00,"300,000.00",0.00,"300,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"313,197.57","12,155.81","313,197.57","12,155.81",0.00,0.00,"88,137.57","-231,401.19","88,137.57","-231,401.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,197.57","12,155.81","13,197.57","12,155.81",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,山东省企联企业管理科学基金会,1286.0
95,青海省治理荒漠化基金会,0.00,0.00,0.00,"9,490,000.00",0.00,"9,490,000.00",0.00,0.00,0.00,"268,216.00",0.00,"268,216.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,758,218.80",0.00,"9,758,218.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,青海省治理荒漠化基金会,3262.0
96,甘肃省公安民警英烈基金会,0.00,0.00,"721,800.00","873,600.00","721,800.00","873,600.00",0.00,0.00,"73,680.50","54,636.80","73,680.50","54,636.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"795,480.50","928,236.80","795,480.50","928,236.80",0.00,0.00,"600,000.00","2,200,000.00","600,000.00","2,200,000.00",0.00,0.00,"21,000.00",0.00,"21,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"964,010.71","2,502,201.55","964,010.71","2,502,201.55",0.00,0.00,"168,530.21","1,573,964.75","168,530.21","1,573,964.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"364,010.71","302,201.55","364,010.71","302,201.55",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,甘肃省公安民警英烈基金会,2696.0
97,重庆大学教育发展基金会,"103,759,441.46","34,881,387.16","105,576,996.46","41,431,288.66","1,817,555.00","6,549,901.50",0.00,0.00,"741,724.64","845,787.80","741,724.64","845,787.80",0.00,0.00,0.00,0.00,0.00,0.00,"103,759,441.46","34,881,387.16","107,246,891.80","42,648,239.16","3,487,450.34","7,766,852.00","43,139,080.69","19,296,468.59","48,994,768.33","19,892,230.59","5,855,687.64","595,762.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"928,170.70","371,162.70","928,170.70","371,162.70","71,307,912.00","2,401,268.00","71,307,912.00","2,401,268.00",0.00,0.00,,,,,,,0,0,0,0,0,0,"114,446,992.69","21,697,736.59","125,654,143.22","27,061,065.47","11,207,150.53","5,363,328.88","10,687,551.23","-13,183,650.57","18,407,251.42","-15,587,173.69","7,719,700.19","-2,403,523.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,351,462.89","4,767,566.88","5,351,462.89","4,767,566.88",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,重庆大学教育发展基金会,3083.0
98,中国光华科技基金会,0.00,0.00,"577,004,654.40","740,509,922.85","577,004,654.40","740,509,922.85",0.00,0.00,"21,611,094.33","45,714,868.46","21,611,094.33","45,714,868.46",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"599,039,028.04","786,725,280.60","599,039,028.04","786,725,280.60","652,515,968.71","616,578,224.25","652,515,968.71","616,578,224.25",0.00,0.00,"-513,878,020.61","-739,709,922.85",0.00,0.00,"513,878,020.61","739,709,922.85",0.00,0.00,"423,279.31","500,489.29","423,279.31","500,489.29","1,000,000.00","800,000.00","1,000,000.00","800,000.00",0.00,0.00,,,,,,,0,0,16104091.78,44718424.17,16104091.78,44718424.17,"655,871,730.19","617,630,518.58","671,975,821.97","662,348,942.75","16,104,091.78","44,718,424.17","141,993,709.58","-122,119,404.27","72,936,793.93","-124,376,337.85","-69,056,915.65","-2,256,933.58",0.00,0.00,0.00,0.00,0.00,0.00,"1,155,761.48","252,294.33","1,155,761.48","252,294.33",0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,"1,200,000.00",0.00,"1,200,000.00",0.00,0.00,0.00,2015,中国光华科技基金会,208.0
99,山东省彩虹援助基金会,0.00,0.00,"1,331,000.00","1,451,200.00","1,331,000.00","1,451,200.00",0.00,0.00,"7,010.50","15,476.00","7,010.50","15,476.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,338,010.50","1,466,676.00","1,338,010.50","1,466,676.00",0.00,0.00,0.00,"4,000,000.00",0.00,"4,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"406,419.99","4,255,220.12","406,419.99","4,255,220.12",0.00,0.00,"-931,590.51","2,788,544.12","-931,590.51","2,788,544.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"406,419.99","255,220.12","406,419.99","255,220.12",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,山东省彩虹援助基金会,1307.0
100,河南省常香玉基金会,0.00,0.00,"300,000.00","5,000.00","300,000.00","5,000.00",0.00,0.00,"3,000.00","3,000.00","3,000.00","3,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"303,325.00","8,480.00","303,325.00","8,480.00",0.00,0.00,"300,000.00","5,000.00","300,000.00","5,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325.00,480.00,325.00,480.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"304,681.62","5,551.32","304,681.62","5,551.32",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,681.62",551.32,"4,681.62",551.32,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,河南省常香玉基金会,2120.0
101,河南省张伯驹文化发展基金会,0.00,0.00,0.00,"627,764.00",0.00,"627,764.00",0.00,0.00,0.00,"304,383.60",0.00,"304,383.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,512,839.11",0.00,"1,512,839.11",0.00,0.00,"2,000,000.00","2,784,000.00","2,000,000.00","2,784,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"580,691.51",0.00,"580,691.51",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"2,055,947.06","2,784,000.00","2,055,947.06","2,784,000.00",0.00,0.00,"2,055,947.06","1,271,160.89","2,055,947.06","1,271,160.89",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"55,947.06",0.00,"55,947.06",0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,河南省张伯驹文化发展基金会,3760.0
102,枣庄市见义勇为基金会,0.00,0.00,"503,666.00","334,704.00","503,666.00","334,704.00",0.00,0.00,"1,566.00","42,213.44","1,566.00","42,213.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"505,232.00","376,917.44","505,232.00","376,917.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"600,000.00",0.00,"600,000.00",,,,,,,0,0,0,0,0,0,0.00,0.00,"34,234.89","634,695.44","34,234.89","634,695.44",0.00,0.00,"-470,997.11","257,778.00","-470,997.11","257,778.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"34,234.89","34,695.44","34,234.89","34,695.44",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,枣庄市见义勇为基金会,1831.0
103,青海省青海大学教育基金会,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"91,260.00",0.00,"91,260.00",0.00,0.00,"3,056,247.02","16,100.00","3,056,247.02","16,100.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,"3,056,247.02","24,032.05","3,056,247.02","24,032.05",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"91,260.00",0.00,"91,260.00",0.00,0.00,0.00,"7,932.05",0.00,"7,932.05",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,青海省青海大学教育基金会,4056.0
104,中国绿化基金会,0.00,0.00,"50,052,946.79","47,349,852.06","50,052,946.79","47,349,852.06",0.00,0.00,"3,077,679.32","3,161,517.08","3,077,679.32","3,161,517.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"53,130,626.11","50,511,369.14","53,130,626.11","50,511,369.14","44,961,905.36","47,401,035.06","44,961,905.36","47,401,035.06",0.00,0.00,"-50,052,946.79","-46,749,852.06",0.00,0.00,"50,052,946.79","46,749,852.06",0.00,0.00,0.00,0.00,0.00,0.00,"7,500,000.00","4,540,000.00","8,032,200.00","5,123,800.00","532,200.00","583,800.00",,,,,,,0,0,229000,229000,229000,229000,"52,461,905.36","51,941,035.06","60,697,233.38","59,254,944.08","8,235,328.02","7,313,909.02","2,408,958.57","5,191,183.00","7,566,607.27","8,743,574.94","5,157,648.70","3,552,391.94",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,474,128.02","6,501,109.02","7,474,128.02","6,501,109.02",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,中国绿化基金会,266.0
105,厦门市妇女儿童发展基金会,"1,748,844.01","909,912.00","2,863,574.91","1,447,302.00","1,114,730.90","537,390.00",0.00,0.00,"74,859.96","72,762.96","74,859.96","72,762.96",0.00,0.00,0.00,0.00,0.00,0.00,"1,748,844.01","909,912.00","2,938,434.87","1,520,064.96","1,189,590.86","610,152.96","2,726,885.50","1,622,600.00","2,942,613.45","1,622,600.00","215,727.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,"300,000.00","1,131,032.38","300,000.00","1,131,032.38","2,726,885.50","1,622,600.00","3,261,473.13","2,763,741.97","534,587.63","1,141,141.97","978,041.49","712,688.00","323,038.26","1,243,677.01","-655,003.23","530,989.01",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"18,859.68","10,109.59","18,859.68","10,109.59",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,厦门市妇女儿童发展基金会,866.0
106,浙江萤火虫慈善基金会,0.00,0.00,"100,000.00","93,894.00","100,000.00","93,894.00",0.00,0.00,"13,447.49","13,643.07","13,447.49","13,643.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"113,681.24","108,780.33","113,681.24","108,780.33",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233.75,"1,243.26",233.75,"1,243.26",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-113,681.24","-108,780.33","-113,681.24","-108,780.33",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,浙江萤火虫慈善基金会,2320.0
107,兴华公益基金会,0.00,0.00,0.00,"7,158,989.20",0.00,"7,158,989.20",0.00,0.00,365.00,"11,581.70",365.00,"11,581.70",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"25,890.50","7,331,927.23","25,890.50","7,331,927.23",0.00,0.00,0.00,"9,000,000.00",0.00,"9,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,025.50","8,070.00","1,025.50","8,070.00",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,176666.67,0,176666.67,0.00,0.00,"531,921.95","9,539,733.73","531,921.95","9,539,733.73",0.00,0.00,"506,031.45","2,207,806.50","506,031.45","2,207,806.50",0.00,0.00,"24,500.00","153,286.33","24,500.00","153,286.33",0.00,0.00,"531,921.95","363,067.06","531,921.95","363,067.06",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,兴华公益基金会,3830.0
108,辽宁省辽宁工程技术大学教育基金会,"164,150.00","151,000.00","194,150.00","189,400.00","30,000.00","38,400.00",0.00,0.00,"20,874.90","24,629.00","20,874.90","24,629.00",0.00,0.00,0.00,0.00,0.00,0.00,"164,150.00","151,000.00","215,024.90","214,029.00","50,874.90","63,029.00","183,000.00","100,000.00","183,000.00","150,000.00",0.00,"50,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,"183,000.00","100,000.00","279,115.18","151,303.89","96,115.18","51,303.89","18,850.00","-51,000.00","64,090.28","-62,725.11","45,240.28","-11,725.11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"96,115.18","1,303.89","96,115.18","1,303.89",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,辽宁省辽宁工程技术大学教育基金会,3028.0
109,重庆西南大学教育基金会,0.00,0.00,"12,795,303.84","15,001,396.64","12,795,303.84","15,001,396.64",0.00,0.00,"305,770.63","214,212.24","305,770.63","214,212.24",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,101,074.47","15,215,608.88","13,101,074.47","15,215,608.88",0.00,0.00,"27,563,363.66","19,125,685.86","27,563,363.66","19,125,685.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"150,000.00",0.00,"150,000.00",,,,,,,0,0,238225.38,1503553.35,238225.38,1503553.35,0.00,0.00,"28,176,418.56","20,923,810.53","28,176,418.56","20,923,810.53",0.00,0.00,"15,075,344.09","5,808,289.95","15,075,344.09","5,808,289.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"374,829.52","144,571.32","374,829.52","144,571.32",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,重庆西南大学教育基金会,3101.0
110,中兴通讯公益基金会,"633,183.50","851,697.94","4,070,702.60","4,082,067.94","3,437,519.10","3,230,370.00",0.00,0.00,"411,944.16","126,989.37","411,944.16","126,989.37",0.00,0.00,0.00,0.00,0.00,0.00,"633,183.50","851,697.94","4,484,324.26","4,209,499.70","3,851,140.76","3,357,801.76","297,562.63","871,398.54","2,011,539.95","2,248,950.29","1,713,977.32","1,377,551.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,2326802.74,2028020.58,2326802.74,2028020.58,"297,562.63","871,398.54","4,421,679.20","4,342,320.58","4,124,116.57","3,470,922.04","-335,620.87","19,700.60","-62,645.06","132,820.88","272,975.81","113,120.28",0.00,0.00,"1,677.50",442.39,"1,677.50",442.39,0.00,0.00,"83,336.51","65,349.71","83,336.51","65,349.71",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,中兴通讯公益基金会,177.0
111,中国华侨公益基金会,0.00,0.00,"98,751,283.93","61,792,664.04","98,751,283.93","61,792,664.04",0.00,0.00,"1,519,209.34","2,624,969.40","1,519,209.34","2,624,969.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"100,254,251.53","64,776,793.78","100,254,251.53","64,776,793.78","97,421,440.84","75,613,524.83","98,028,590.84","75,977,647.56","607,150.00","364,122.73","-98,751,283.93","-255,600.00",0.00,"-210,000.00","98,751,283.93","45,600.00",0.00,0.00,"-16,241.74","359,160.34","-16,241.74","359,160.34",0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,145300.86,186787.82,145300.86,186787.82,"97,467,040.84","76,023,924.83","100,363,870.94","78,646,859.94","2,896,830.10","2,622,935.11","-1,284,243.09","13,975,660.79","109,619.41","13,660,066.16","1,393,862.50","-315,594.63",0.00,0.00,0.00,0.00,0.00,0.00,"45,600.00","410,400.00","2,189,979.24","2,482,424.56","2,144,379.24","2,072,024.56",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,中国华侨公益基金会,217.0
112,寿宁县健民卫生事业发展基金会,0.00,0.00,"735,944.98","684,773.35","735,944.98","684,773.35",0.00,0.00,"56,063.51","44,517.29","56,063.51","44,517.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"792,008.49","729,290.64","792,008.49","729,290.64",0.00,0.00,"385,100.00","1,040,000.00","385,100.00","1,040,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"200,000.00","600,000.00","200,000.00","600,000.00",,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,550,785.58","2,747,478.06","1,550,785.58","2,747,478.06",0.00,0.00,"758,777.09","2,018,187.42","758,777.09","2,018,187.42",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"965,685.58","1,107,478.06","965,685.58","1,107,478.06",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,寿宁县健民卫生事业发展基金会,1268.0
113,武汉纺织大学教育发展基金会,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,70.00,0.00,"120,000.00",0.00,"732,726.71",0.00,"612,726.71",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0,0,0,0,0.00,"120,000.00",0.00,"738,631.31",0.00,"618,631.31",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,904.60",0.00,"5,904.60",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,武汉纺织大学教育发展基金会,4494.0
114,吴作人国际美术基金会,"1,546,797.62","1,470,693.31","2,214,886.33","3,350,803.65","668,088.71","1,880,110.34",0.00,0.00,"-103,252.74","-264,750.93","-103,252.74","-264,750.93",0.00,0.00,0.00,0.00,0.00,0.00,"1,546,797.62","1,470,693.31","2,111,633.59","3,086,052.72","564,835.97","1,615,359.41","358,800.00","2,875,646.00","358,800.00","3,875,646.00",0.00,"1,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,320134.57,694747.24,320134.57,694747.24,"436,784.00","3,911,020.86","758,308.41","5,609,530.05","321,524.41","1,698,509.19","-1,110,013.62","2,440,327.55","-1,353,325.18","2,523,477.33","-243,311.56","83,149.78",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,389.84","3,761.95","1,389.84","3,761.95",0.0,0.0,0.00,0.00,0.00,0.00,"77,984.00","1,035,374.86","77,984.00","1,035,374.86",0.00,0.00,2015,吴作人国际美术基金会,942.0
115,中华思源工程扶贫基金会,0.00,0.00,"133,462,197.73","157,389,776.01","133,462,197.73","157,389,776.01",0.00,0.00,"4,647,772.09","5,278,881.24","4,647,772.09","5,278,881.24",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"138,158,723.77","162,673,657.25","138,158,723.77","162,673,657.25","153,756,121.16","176,333,070.39","158,175,592.31","176,413,704.13","4,419,471.15","80,633.74","-137,025,958.35","-162,573,657.25",0.00,0.00,"137,025,958.35","162,573,657.25",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,000,000.00",0.00,"1,000,000.00",0.00,0.00,,,,,,,0,0,0,0,0,0,"153,756,121.16","177,333,070.39","162,009,581.99","181,290,978.46","8,253,460.83","3,957,908.07","16,730,162.81","14,759,413.14","23,850,858.22","18,617,321.21","7,120,695.41","3,857,908.07",0.00,0.00,"48,753.95","5,000.00","48,753.95","5,000.00",0.00,0.00,"3,833,989.68","3,877,274.33","3,833,989.68","3,877,274.33",0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2015,中华思源工程扶贫基金会,185.0
