	ricf_oid	ba_cn	fp_yr	cf_doc	cf_soc	cf_srvc	cf_proc	cf_govc	cf_otca	cf_atci	cf_dopc	cf_stpc	cf_psc	cf_otpc	cf_atco	cf_anc	cf_inc	cf_inrc	cf_assc	cf_oc	cf_itci	cf_aspc	cf_invs	cf_oinc	cf_tinc	cf_intc	cf_leca	cf_tfc	cf_tfic	cf_bopc	cf_inpc	cf_ofc	cf_tfoc	cf_nfl	cf_exch	cf_ninc
1119	29	上海华杰仁爱基金会	2015	2100000.0	0.0	0.0	0.0	0.0	0.0	2100000.0	1509975.0	36000.0	11079.6	0.0	1557054.6	542945.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3860.58	3860.58	0.0	0.0	7575.0	7575.0	-3714.42	0.0	539230.98
1120	4167	上海乐三兰馨教育发展基金会	2015	0.0	0.0	0.0	0.0	0.0	100000.0	100000.0	2000000.0	0.0	0.0	375.4	2000375.4	-1900375.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3088.96	3088.96	0.0	0.0	1534.16	1534.16	1554.8	0.0	-1898820.6
1121	3673	上海大学教育发展基金会	2015	4620256.39	0.0	0.0	0.0	0.0	20932.75	4641189.14	536914.9	0.0	0.0	19540.0	556454.9	4084734.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4084734.24
1122	51	上海富国环保公益基金会	2015	0.0	0.0	0.0	0.0	0.0	1824.99	1824.99	0.0	2308.0	195743.4	4953.0	203004.4	-201179.41	0.0	81474.18	0.0	0.0	81474.18	0.0	81474.11	-9927.6	71546.51	9927.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-191251.74
1123	4498	上海随手公益基金会	2015	2978586.75	0.0	0.0	0.0	0.0	4220.31	2982807.06	838346.2	63832.5	0.0	51282.23	953460.93	2029346.13	0.0	0.0	0.0	0.0	0.0	0.0	1500000.0	0.0	1500000.0	-1500000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	529346.13
1124	152	上海阮仪三城市遗产保护基金会	2015	493281.6	0.0	0.0	0.0	0.0	179010.5	672292.1	949978.84	91859.5	0.0	4888.44	1046726.78	-374434.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5499.17	-368935.51
1125	140	上海第一财经公益基金会	2015	940823.6	0.0	0.0	0.0	0.0	116946.0	1057769.6	0.0	0.0	1141915.08	21117.3	1163032.38	-105262.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-105262.78
1126	146	上海财经大学教育发展基金会	2015	24584103.67	0.0	0.0	0.0	0.0	1480.0	24585583.67	20859265.08	0.0	0.0	22735250.27	43594515.35	-19008931.68	8738000.0	1890968.49	0.0	0.0	10628968.49	0.0	0.0	0.0	0.0	10628968.49	0.0	115703.56	115703.56	0.0	0.0	0.0	0.0	115703.56	0.0	-8264259.63
1127	4073	上海战略新兴产业发展基金会	2015	500000.0	0.0	0.0	0.0	0.0	12912.56	512912.56	0.0	92636.0	776490.28	138906.05	1008032.33	-495119.77	0.0	0.0	0.0	0.0	0.0	92814.4	0.0	0.0	92814.4	-92814.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-587934.17
1128	26	上海华东政法大学教育发展基金会	2015	4744250.04	0.0	0.0	0.0	0.0	80368.17	4824618.21	2659461.51	0.0	0.0	98041.23	2757502.74	2067115.47	27000000.0	259637.82	0.0	0.0	27259637.82	0.0	30000000.0	0.0	30000000.0	-2740362.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-673246.71
