	ao_ad	ao_adex	ao_adn	ao_ate	ao_cc	ao_dd	ao_ddc	ao_ddi	ao_ddin	ao_ddn	ao_ddnn	ao_lst	ao_nni	ao_nnin	ao_od	ao_odi	ao_odin	ao_odn	ao_odnn	ao_odt	ao_oth	ao_slr	ba_cn	fp_yr	ricf_oid
1148	0.0	49660.0	0.0		1616290.41	0.0	0.0	80000.0	1043334.0	0.0	0.0	2719633.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98639.49	上海仁心公益基金会	2015	4099
1149	1046465.0	11078.3	0.0		1868747.77	1046465.0	66465.0	980000.0	0.0	0.0	0.0	7013943.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-246683.2	3500.0	上海长江出版交流基金会	2015	150
1150	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	上海彤程公益基金会	2015	4778
1151	93930.8	10686.29	0.0		297120.0	0.0	0.0	0.0	0.0	0.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1757.24	0.0	上海市水分子公益基金会	2015	4121
1152	900000.0	19644.45	0.0		1747235.19	900000.0	0.0	900000.0	0.0	0.0	0.0	3632825.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	904816.19	72700.0	上海文学发展基金会	2015	107
1153	0.0	18290.0	0.0		5305016.65	670100.0	670100.0	0.0	0.0	0.0	0.0	8184039.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188592.4	112800.0	上海市青浦区教育基金会	2015	96
1154	0.0	42282.4	0.0		4050000.0	11520000.0	0.0	11520000.0	0.0	0.0	0.0	2001691.7	0.0	0.0	0.0	1660000.0	0.0	0.0	0.0	0.0	0.0	0.0	上海广播电视台艺术人文发展基金会	2015	4075
1155	5142486.2	31203.5	0.0		166457.21	0.0	0.0	5142486.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	910136.95	30816.66	上海仲弘公益基金会	2015	4622
1156	2000000.0	452.7	0.0		10000.0	2000000.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9370.0	0.0	上海周桐宇公益基金会	2015	4236
1157	1611837.7	862.0	0.0		853085.59	1030000.0	581837.7	0.0	0.0	0.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90000.0	0.0	上海叔同深渊科学技术发展基金会	2015	4117
1158	416000.0	30218.4	0.0		744584.0	416000.0	366000.0	50000.0	0.0	0.0	0.0	6685159.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16000.0	36000.0	上海韩哲一教育扶贫基金会	2015	154
1159	0.0	481.0	0.0		62376.0	0.0	0.0	0.0	0.0	0.0	0.0	4002864.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55000.0	0.0	上海乒乓球发展事业基金会	2015	4074
1160	24179.0	5921.0	0.0		165123.6	24179.0	24179.0	0.0	0.0	0.0	0.0	2000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39982.0	11172.0	上海慈光皮肤健康基金会	2015	4059
1161	2511000.0	36018.29	0.0		2115524.1	2511000.0	0.0	2511000.0	0.0	0.0	0.0	3778848.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-55307.54	88130.4	上海曙光中医药研究发展基金会	2015	112
1162	10000000.0	44427.4	0.0		5348774.5	10000000.0	0.0	10000000.0	0.0	0.0	0.0	80847140.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226327.4	上海市民办教育发展基金会	2015	3862
1163	0.0	74801.33	0.0		1737932.18	0.0	0.0	0.0	0.0	0.0	0.0	1775315.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100000.0	上海汽车工业教育基金会	2015	122
1164	43757168.5	1006000.0	0.0		20071097.46	43757168.5	43757168.5	0.0	0.0	0.0	0.0	105826733.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	700000.0	上海中欧国际工商学院教育发展基金会	2015	17
1165	257467885.93	270728.76	0.0		99254376.9	121593014.7	17234641.8	104328572.9	0.0	0.0	29800.0	304913320.28	0.0	0.0	135874871.23	124233589.81	0.0	111641281.42	0.0	0.0	21041.52	963279.8	上海复旦大学教育发展基金会	2015	43
