Unnamed: 0	ba_cn	fp_agas_begin	fp_agas_end	fp_agd_begin	fp_agd_end	fp_asto_begin	fp_asto_end	fp_clas_begin	fp_clas_end	fp_csh_begin	fp_csh_end	fp_deex_begin	fp_deex_end	fp_det_begin	fp_det_end	fp_fias_begin	fp_fias_end	fp_fide_begin	fp_fide_end	fp_fifx_begin	fp_fifx_end	fp_fior_begin	fp_fior_end	fp_fito_begin	fp_fito_end	fp_flde_begin	fp_flde_end	fp_fra_begin	fp_fra_end	fp_inbu_begin	fp_inbu_end	fp_ldto_begin	fp_ldto_end	fp_lims_begin	fp_lims_end	fp_lobo_begin	fp_lobo_end	fp_lode_begin	fp_lode_end	fp_lopa_begin	fp_lopa_end	fp_lost_begin	fp_lost_end	fp_loto_begin	fp_loto_end	fp_noas_begin	fp_noas_end	fp_ntt_begin	fp_ntt_end	fp_ode_begin	fp_ode_end	fp_onin_begin	fp_onin_end	fp_otde_begin	fp_otde_end	fp_otfl_begin	fp_otfl_end	fp_otld_begin	fp_otld_end	fp_prde_begin	fp_prde_end	fp_prex_begin	fp_prex_end	fp_prp_begin	fp_prp_end	fp_rec_begin	fp_rec_end	fp_rm_begin	fp_rm_end	fp_shbo_begin	fp_shbo_end	fp_shpa_begin	fp_shpa_end	fp_shsa_begin	fp_shsa_end	fp_shta_begin	fp_shta_end	fp_sti_begin	fp_sti_end	fp_tofl_begin	fp_tofl_end	fp_tt_begin	fp_tt_end	fp_unls_begin	fp_unls_end	fp_yr	ricf_oid
313	威海市见义勇为基金会	0	0	0	0	7,552,343.41	7,386,420.55	0	0	7,534,359.7	7,372,649.5	0	0	0	0	15,283.71	11,071.05	117,810.14	122,022.8	0	0	133,093.85	133,093.85	15,283.71	11,071.05	0	0	0	0	0	0	0	0	2,259,450	2,009,450	0	0	0	0	0	0	0	0	0	0	0	0	7,552,343.41	7,386,420.55	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	2,700	2,700	0	0	0	0	0	0	0	0	0	0	7,537,059.7	7,375,349.5	7,552,343.41	7,386,420.55	5,292,893.41	5,376,970.55	2015	1124
314	陕西省宝鸡市老龄事业发展基金会		0.00		0.00		4,402,179.28		0.00		1,145,631.44		0.00		307,500.00		1,756,547.84		421,326.16		0.00		2,177,874.00		1,756,547.84		307,500.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		4,094,679.28		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,500,000.00				0.00		307,500.00		0.00		0.00		0.00		2,645,631.44		4,402,179.28		4,094,679.28	2015	3190
315	深圳市春天文学基金会		0.00		0.00		2,083,916.20		0.00		2,083,916.20		0.00		26,472.00		0.00		0.00		0.00		0.00		0.00		26,472.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,057,444.20		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		26,472.00		0.00		2,083,916.20		2,083,916.20		2,057,444.20	2015	2426
316	陕西省教育基金会																																																																																					2015	3194
317	广东省宋庆龄基金会		0.00		0.00		12,290,710.09		0.00		11,675,761.73		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		5,066,430.78		0.00		0.00		0.00		0.00		0.00		0.00		12,290,710.09		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		12,290,710.09		12,290,710.09		7,224,279.31	2015	1474
318	陕西省西安市老龄事业发展基金会		0.00		0.00		16,372,498.57		0.00		1,150,366.53		0.00		0.00		1,460,624.62		160,114.38		0.00		1,620,739.00		1,460,624.62		0.00				0.00		0.00		0.00		0.00		4,500,000.00		0.00		260,656.00		4,760,656.00		0.00		16,372,498.57		0.00		9,000,000.00		0.00		0.00		0.00		0.00		0.00		0.00		851.42				0.00		0.00		0.00		0.00		0.00		10,151,217.95		16,372,498.57		16,372,498.57	2015	3212
319	陕西省联谊贫困救助基金会																																																																																					2015	3209
320	深圳市老龄事业发展基金会																																																																																					2015	2449
321	广东省老年基金会		0.00		0.00		3,412,950.33		0.00		2,600,779.99		0.00		24,163.17		115,719.00		0.00		0.00		115,719.00		115,719.00		24,163.17				0.00		0.00		74,939.00		0.00		0.00		0.00		0.00		0.00		0.00		3,388,787.16		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		696,451.34				0.00		23,734.37		0.00		428.80		0.00		3,297,231.33		3,412,950.33		3,313,848.16	2015	1549
322	肇庆市教育基金会		0.00		0.00		15,667,080.44		0.00		1,867,080.44		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		3,653,491.20		0.00		0.00		0.00		0.00		0.00		0.00		15,667,080.44		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		13,800,000.00		15,667,080.44		15,667,080.44		12,013,589.24	2015	2864
323	东莞市东莞理工学院教育发展基金会		0.00		0.00		73,070,690.47		0.00		1,615,592.42		0.00		1,535,661.54		26,926.82		40,213.18		0.00		67,140.00		26,926.82		1,535,661.54				0.00		0.00		5,395,133.06		0.00		0.00		0.00		0.00		0.00		0.00		71,535,028.93		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,428,171.23				0.00		920,163.04		0.00		0.00		69,000,000.00		73,043,763.65		73,070,690.47		66,139,895.87	2015	167
324	中国国际文化交流基金会	0	0	0	0	50,303,003.97	44,720,860.73	0	0	44,331,427.56	38,774,193.66	0	0	75	75	66,576.41	41,667.07	62,426.59	94,735.93	0	0	129,003	136,403	66,576.41	41,667.07	75	75	0	0	0	0	0	0	42,320,558.04	33,783,358.04	0	0	0	0	0	0	5,900,000	5,900,000	5,900,000	5,900,000	0	0	50,302,928.97	44,720,785.73	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	5,000	5,000	0	0	0	0	75	75	0	0	0	0	0	0	44,336,427.56	38,779,193.66	50,303,003.97	44,720,860.73	7,982,370.93	10,937,427.69	2015	227
325	茂名市见义勇为基金会		0.00		0.00		4,822,479.01		0.00		4,784,479.01		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		4,489,856.81		0.00		0.00		0.00		0.00		0.00		0.00		4,822,479.01		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		38,000.00				0.00		0.00		0.00		0.00		0.00		4,822,479.01		4,822,479.01		332,622.20	2015	2914
326	广州市时代地产公益基金会		0.00		0.00		7,502,835.27		0.00		6,632,801.27		0.00		55,724.00		0.00		0.00		0.00		0.00		0.00		55,724.00				0.00		0.00		3,000,000.00		0.00		0.00		0.00		0.00		0.00		0.00		7,447,111.27		0.00		0.00		0.00		0.00		0.00		0.00		0.00		870,034.00		0.00				0.00		55,724.00		0.00		0.00		0.00		7,502,835.27		7,502,835.27		4,447,111.27	2015	1599
327	佛山市炽昌慈善基金会		0.00		0.00		397,533.40		0.00		397,533.40		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		397,533.40		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		397,533.40		397,533.40		397,533.40	2015	385
328	广东省志愿者事业发展基金会		0.00		0.00		17,196,175.97		0.00		16,827,667.51		0.00		201,657.24		17,264.28		140,551.45		0.00		157,815.73		17,264.28		201,657.24				0.00		0.00		6,349,434.92		0.00		0.00		0.00		350,000.00		350,000.00		0.00		16,994,518.73		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,244.18				0.00		201,575.90		0.00		81.34		0.00		16,828,911.69		17,196,175.97		10,645,083.81	2015	1497
329	陕西省农业发展基金会		0.00		0.00		3,024,797.61		0.00		38,765.46		100,000.00		0.00		4,532.15		83,055.63		0.00		87,587.78		4,532.15		0.00				0.00		0.00		73,950.00		0.00		0.00		0.00		1,300,000.00		1,300,000.00		0.00		3,024,797.61		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,581,500.00				0.00		0.00		0.00		0.00		0.00		1,720,265.46		3,024,797.61		2,950,847.61	2015	3184
330	广州市体育基金会																																																																																					2015	1586
331	陕西省西安残疾人福利基金会		0.00		0.00		33,462,083.19		0.00		1,195,328.16		0.00		0.00		116,755.03		128,880.97		0.00		245,636.00		116,755.03		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		33,462,083.19		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		150,000.00				0.00		0.00		0.00		0.00		32,000,000.00		33,345,328.16		33,462,083.19		33,462,083.19	2015	3213
332	深圳市综研软科学发展基金会		0.00		0.00		31,237,705.40		0.00		1,178,993.97		0.00		2,119,057.86		14,266.95		18,622.05		0.00		32,889.00		14,266.95		2,119,057.86				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		29,118,647.54		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		2,112,702.93		0.00		6,354.93		30,000,000.00		31,223,438.45		31,237,705.40		29,118,647.54	2015	2446
333	榆林市胡星元慈善基金会		0.00		0.00		27,692,449.12		0.00		27,687,298.54		0.00		0.00		5,150.58		130,719.42		0.00		135,870.00		5,150.58		0.00				0.00		0.00		20,960,453.72		0.00		0.00		0.00		0.00		0.00		0.00		27,692,449.12		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		27,687,298.54		27,692,449.12		6,731,995.40	2015	1844
334	陕西省社会公益基金会																																																																																					2015	3202
335	山东大学教育基金会	0	0	0	0	116,430,990.6	125,878,916.46	0	0	116,430,990.6	125,763,727.5	0	0	3,007,804.7	1,251,580.82	0	15,188.96	0	0	0	0	0	15,188.96	0	15,188.96	3,007,804.7	1,251,580.82	3,007,804.7	2,280	0	0	0	0	109,568,282.54	119,175,923.94	0	0	0	0	0	0	0	0	0	0	0	0	113,423,185.9	124,627,335.64	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	100,000	0	0	0	0	0	0	0	1,249,300.82	0	0	0	0	0	0	116,430,990.6	125,863,727.5	116,430,990.6	125,878,916.46	3,854,903.36	5,451,411.7	2015	1278
336	陕西纯山教育基金会	0	0	0	0	3,047,711.12	5,165,874.25	0	0	2,792,664.28	1,789,340.21	0	0	8,989.58	10,071.04	4,016.48	480.44	21,550.42	38,210.36	0	0	25,566.9	38,690.8	4,016.48	480.44	8,989.58	10,071.04	0	0	0	0	0	0	1,144,295.1	3,895,933.35	0	0	0	0	0	0	0	0	0	0	0	0	3,038,721.54	5,155,803.21	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	18,000	0	233,030.36	376,053.6	0	0	8,636.26	6,554.73	0	3,369.48	353.32	146.83	0	3,000,000	3,043,694.64	5,165,393.81	3,047,711.12	5,165,874.25	1,894,426.44	1,259,869.86	2015	3221
337	陕西省爱心敬老基金会		0.00		0.00		16,446,631.26		0.00		13,185,472.16		0.00		0.00		111,645.57		138,748.73		0.00		250,394.30		111,645.57		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		16,446,631.26		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,779,744.00		368,287.53				0.00		0.00		0.00		0.00		0.00		16,334,985.69		16,446,631.26		16,446,631.26	2015	3200
338	西北工业大学教育基金会		0.00		0.00		311,134,142.36		0.00		94,120,975.05		0.00		0.00		21,737.52		17,857.48		0.00		39,595.00		21,737.52		0.00				0.00		0.00		98,117,472.99		0.00		152,000,000.00		0.00		0.00		152,000,000.00		0.00		311,134,142.36		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		64,991,429.79		159,112,404.84		311,134,142.36		213,016,669.37	2015	2937
339	广州市禁毒基金会		0.00		0.00		40,745,965.75		0.00		37,556,686.14		0.00		0.00		3,184,079.61		1,155,588.32		0.00		4,339,667.93		3,184,079.61		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		40,745,965.75		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,200.00				0.00		0.00		0.00		0.00		0.00		37,561,886.14		40,745,965.75		40,745,965.75	2015	1608
340	陕西省楠竹教育基金会		0.00		0.00		7,557,688.11		0.00		2,557,646.15		0.00		5,046.38		41.96		2,258.04		0.00		2,300.00		41.96		5,046.38				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		7,552,641.73		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		5,046.38		0.00		5,000,000.00		7,557,646.15		7,557,688.11		7,552,641.73	2015	3196
341	韶关市教育基金会																																																																																					2015	3282
342	广东省豪爵慈善基金会		0.00		0.00		12,982,929.50		0.00		12,982,929.50		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		12,982,929.50		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		12,982,929.50		12,982,929.50		12,982,929.50	2015	1555
343	山东商业职业技术学院助学基金会	0	0	0	0	2,451,390.55	2,644,547.9	0	0	445,418.55	639,621	0	0	0	0	5,972	4,926.9	2,986	4,031.1	0	0	8,958	8,958	5,972	4,926.9	0	0	0	0	0	0	0	0	2,000,000	2,000,000	0	0	0	0	0	0	0	0	0	0	0	0	2,451,390.55	2,644,547.9	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	2,000,000	2,000,000	0	0	0	0	0	0	0	0	0	0	0	0	2,445,418.55	2,639,621	2,451,390.55	2,644,547.9	451,390.55	644,547.9	2015	1275
344	陕西省唐大明宫遗址文物保护基金会		0.00		0.00		9,099,926.28		0.00		5,549,926.28		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		9,099,926.28		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,550,000.00				0.00		0.00		0.00		0.00		0.00		9,099,926.28		9,099,926.28		9,099,926.28	2015	3186
345	陕西省阳光慈善基金会		0.00		0.00		2,298,936.60		0.00		2,298,936.60		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,298,936.60		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		2,298,936.60		2,298,936.60		2,298,936.60	2015	3215
346	广东省华南理工大学教育发展基金会		0.00		0.00		216,195,580.32		0.00		210,055,379.85		0.00		12.50		23,745.52		140,075.48		0.00		163,821.00		23,745.52		12.50				0.00		0.00		166,201,716.03		0.00		0.00		0.00		5,000,000.00		5,000,000.00		0.00		216,237,567.82		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		960,042.95				0.00		12.50		0.00		0.00		0.00		211,171,834.80		216,237,580.32		50,035,851.79	2015	1447
347	陕西国运教育慈善基金会		0.00		0.00		229,571.21		0.00		229,571.21		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		6,651.60		0.00		0.00		0.00		0.00		0.00		0.00		229,571.21		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		229,571.21		229,571.21		222,919.61	2015	3167
348	陕西省红十字基金会	0	0	0	0	15,431,793.16	15,309,657.59	0	0	374,679.12	257,954.79	0	0	-431.8	-1,095.2	56,614.04	51,702.8	20,070.96	24,982.2	0	0	76,685	76,685	56,614.04	51,702.8	-431.8	-1,095.2	0	0	0	0	0	0	15,122,191.4	15,000,000	0	0	0	0	0	0	0	0	0	0	0	0	15,432,224.96	15,310,752.79	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	500	0	0	0	-431.8	-1,095.2	0	0	0	0	15,000,000	15,000,000	15,375,179.12	15,257,954.79	15,431,793.16	15,309,657.59	310,033.56	310,752.79	2015	3206
349	陕西法门寺慈善基金会																																																																																					2015	3177
350	广州市交通建设管理基金会		0.00		0.00		156,211,215.50		0.00		70,138,865.55		0.00		20,511,255.87		1,474.28		41,770.72		0.00		43,245.00		1,474.28		20,511,255.87				0.00		0.00		0.00		0.00		0.00		0.00		1,500,000.00		1,500,000.00		0.00		135,699,959.63		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		84,570,875.67				0.00		20,511,255.87		0.00		0.00		0.00		154,709,741.22		156,211,215.50		135,699,959.63	2015	1583
351	陕西宏府慈善基金会		0.00		0.00		3,594,921.40		0.00		54,715.63		0.00		0.00		58,343.00		27,897.00		0.00		86,240.00		58,343.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,594,921.40		0.00		0.00		0.00		0.00		0.00		0.00		0.00		450,000.00		0.00				0.00		0.00		0.00		0.00		3,031,862.77		3,536,578.40		3,594,921.40		3,594,921.40	2015	3171
352	广东省桂贤慈善基金会		0.00		0.00		2,000,136.78		0.00		2,000,136.78		0.00		7,319.50		0.00		0.00		0.00		0.00		0.00		7,319.50				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,992,817.28		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		7,319.50		0.00		0.00		0.00		2,000,136.78		2,000,136.78		1,992,817.28	2015	1517
353	陕西省易信慈善基金会		0.00		0.00		1,976,897.58		0.00		1,976,897.58		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,976,897.58		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		1,976,897.58		1,976,897.58		1,976,897.58	2015	3195
354	中国国际问题研究基金会	0	0	0	0	24,901,241.6	17,165,629.7	0	0	21,904,331.42	15,021,382.11	640,100	0	2,649,494.1	118,546.47	108,170.18	51,747.59	497,621.8	467,207.39	0	0	605,791.98	518,954.98	108,170.18	51,747.59	2,649,494.1	118,546.47	1,500,000	0	0	0	0	0	2,091,904.96	1,944,325.96	0	0	0	0	0	0	2,000,000	2,000,000	2,000,000	2,000,000	0	0	22,251,747.5	17,047,083.23	0	0	0	0	0	0	0	0	0.0	0	0	0	0	95,100	0	0	248,640	92,500	0	0	0	0	1,113,000	0	0	0	36,494.1	23,446.47	0	0	22,793,071.42	15,113,882.11	24,901,241.6	17,165,629.7	20,159,842.54	15,102,757.27	2015	228
355	陕西省联众慈善救助基金会																																																																																					2015	3208
356	广东省易方达教育基金会		0.00		0.00		131,124,552.51		0.00		2,086,640.92		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		3,267,096.26		0.00		0.00		0.00		0.00		0.00		0.00		131,124,552.51		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		25,000,000.00				0.00		0.00		0.00		0.00		104,037,911.59		131,124,552.51		131,124,552.51		127,857,456.25	2015	1513
357	陕西省民生社会福利基金会																																																																																					2015	3198
358	广东省老区建设基金会		0.00		0.00		21,356,623.83		0.00		191,447.08		0.00		15,291.00		5,046,103.70		3,646.30		0.00		5,049,750.00		5,046,103.70		15,291.00				0.00		0.00		20,539,306.67		0.00		0.00		0.00		0.00		0.00		0.00		21,341,332.83		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		4,000.00				0.00		15,291.00		0.00		0.00		16,115,073.05		16,310,520.13		21,356,623.83		802,026.16	2015	1548
359	陕西大唐西市历史文化遗址保护基金会		0.00		0.00		5,693,271.18		0.00		5,669,377.08		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,693,271.18		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		23,894.10				0.00		0.00		0.00		0.00		0.00		5,693,271.18		5,693,271.18		5,693,271.18	2015	3168
360	深圳市华侨公益基金会		0.00		0.00		7,531,757.35		0.00		1,803,969.22		0.00		17,679.19		66,419.20		0.00		0.00		66,419.20		66,419.20		17,679.19				0.00		0.00		0.00		0.00		0.00		0.00		812,285.38		812,285.38		0.00		7,514,078.16		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		4,849,083.55				0.00		16,330.00		1,349.19		0.00		0.00		6,653,052.77		7,531,757.35		7,514,078.16	2015	2418
361	陕西妇女儿童发展基金会		0.00		0.00		12,746,818.69		0.00		8,320,235.26		0.00		695.31		3,935.00		34,695.00		0.00		38,630.00		3,935.00		695.31				0.00		0.00		6,929,894.78		0.00		0.00		0.00		0.00		0.00		0.00		12,746,123.38		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,981.38				0.00		0.00		0.00		695.31		4,300,000.00		12,742,883.69		12,746,818.69		5,816,228.60	2015	3169
362	宝鸡市残疾人福利基金会		0.00		0.00		10,520,790.58		0.00		1,400,678.50		0.00		0.00		120,112.08		74,496.92		0.00		194,609.00		120,112.08		0.00				0.00		0.00		90,589.44		0.00		0.00		0.00		0.00		0.00		0.00		10,520,790.58		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		7,000,000.00		10,400,678.50		10,520,790.58		10,430,201.14	2015	1255
363	陕西省黄土地陕北民歌发展基金会		0.00		0.00		2,159,734.54		0.00		1,927,141.31		0.00		145,106.00		73,713.23		140,231.27		0.00		213,944.50		73,713.23		145,106.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,014,628.54		0.00		0.00		0.00		0.00		0.00		0.00		0.00		158,880.00		0.00				0.00		145,106.00		0.00		0.00		0.00		2,086,021.31		2,159,734.54		2,014,628.54	2015	3219
364	广东省侨心慈善基金会		0.00		0.00		6,549,128.82		0.00		6,540,804.33		0.00		0.00		8,324.49		42,282.21		0.00		50,606.70		8,324.49		0.00				0.00		0.00		5,776,250.01		0.00		0.00		0.00		0.00		0.00		0.00		8,549,128.82		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		6,540,804.33		8,549,128.82		2,772,878.81	2015	1429
365	青岛滨海学院教育发展基金会	0	0	0	0	72,426,020.14	85,509,291.99	0	0	72,426,020.14	85,509,291.99	0	0	23,100	23,100	0	0	0	0	0	0	0	0	0	0	23,100	23,100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72,402,920.14	85,486,191.99	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	23,100	23,100	0	0	0	0	0	0	72,426,020.14	85,509,291.99	72,426,020.14	85,509,291.99	72,402,920.14	85,486,191.99	2015	3245
366	陕西鱼化龙创业基金会		0.00		0.00		5,646,197.84		0.00		5,582,386.61		0.00		0.00		16,311.23		6,228.77		0.00		22,540.00		16,311.23		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		5,646,197.84		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		47,500.00				0.00		0.00		0.00		0.00		0.00		5,629,886.61		5,646,197.84		5,646,197.84	2015	3227
367	青海省格萨尔公益基金会																																																																																					2015	3259
368	四会市见义勇为基金会		0.00		0.00		2,125,505.44		0.00		2,125,505.44		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		2,125,505.44		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		2,125,505.44		2,125,505.44		2,125,505.44	2015	976
369	广东省华美教育慈善基金会		0.00		0.00		23,927,677.10		0.00		564,271.49		0.00		7,498.86		63,055.61		18,899.95		0.00		81,955.56		63,055.61		7,498.86				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		23,920,178.24		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		350.00				0.00		7,132.36		0.00		366.50		23,300,000.00		23,864,621.49		23,927,677.10		23,920,178.24	2015	1450
370	青海省贫困学生助学慈善基金会		0.00		4,139,014.90		5,235,836.90		0.00		4,864,627.90		0.00		4,139,014.90		371,209.00		0.00		0.00		371,209.00		371,209.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		1,096,822.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		0.00		0.00		0.00		0.00		4,864,627.90		5,235,836.90		1,096,822.00	2015	3268
371	青海省青少年发展基金会	0	0	0	0	25,638,500.79	24,263,287.76	0	0	24,204,207.42	22,829,828.83	0	0	217,612	217,612	482,143.7	482,143.7	0	0	0	0	482,143.7	482,143.7	482,143.7	482,143.7	217,612	217,612	0	0	0	0	0	0	17,972,073.79	16,960,011.35	0	0	0	0	0	0	0	0	0	0	0	0	25,420,888.79	24,045,675.76	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	952,149.67	951,315.23	0	0	0	0	217,612	217,612	0	0	0	0	0	0	25,156,357.09	23,781,144.06	25,638,500.79	24,263,287.76	7,448,815	7,085,664.41	2015	3270
372	广东省潮汕星河奖基金会		0.00		0.00		104,441,679.60		0.00		25,452,868.39		0.00		2,177,530.04		33,021,458.19		39,165,351.42		0.00		72,186,809.61		33,021,458.19		2,177,530.04				0.00		0.00		0.00		0.00		0.00		0.00		158,567.02		158,567.02		0.00		102,264,149.56		0.00		0.00		33,932.00		0.00		0.00		0.00		0.00		0.00		2,568,786.00				0.00		2,054,520.83		0.00		89,077.21		43,240,000.00		71,261,654.39		104,441,679.60		102,264,149.56	2015	1528
373	青海省雪域仁济慈善基金会	0	0	0	0	6,937.44	2,014,255.95	0	0	6,937.44	2,014,255.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,000,000	1,000,000	0	0	0	0	0	0	0	0	0	0	0	0	6,937.44	2,014,255.95	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,937.44	2,014,255.95	6,937.44	2,014,255.95	-993,062.56	1,014,255.95	2015	3269
374	青海省见义勇为基金会		0.00		0.00		8,479,041.29		0.00		8,407,291.29		0.00		0.00		16,750.00		0.00		0.00		16,750.00		16,750.00		0.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		8,479,041.29		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		55,000.00				0.00		0.00		0.00		0.00		0.00		8,462,291.29		8,479,041.29		8,479,041.29	2015	3267
375	广宁县教育基金会		0.00		0.00		4,085,647.63		0.00		4,085,647.63		0.00		282,572.00		0.00		0.00		0.00		0.00		0.00		282,572.00				0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		3,803,075.63		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00		0.00				0.00		282,572.00		0.00		0.00		0.00		4,085,647.63		4,085,647.63		3,803,075.63	2015	1580
376	潍坊市人口关爱基金会	0	0	0	0	6,067,904.8	0	0	0	6,067,904.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,000,000	0	0	0	0	0	0	0	0	0	0	0	0	0	6,067,904.8	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,067,904.8	0	6,067,904.8	0	2,067,904.8	0	2015	2646
