Unnamed: 0,ricf_oid,ba_cn,fp_yr,name,cf_doc,cf_soc,cf_srvc,cf_proc,cf_govc,cf_otca,cf_atci,cf_dopc,cf_stpc,cf_psc,cf_otpc,cf_atco,cf_anc,cf_inc,cf_inrc,cf_assc,cf_oc,cf_itci,cf_aspc,cf_invs,cf_oinc,cf_tinc,cf_intc,cf_leca,cf_tfc,cf_tfic,cf_bopc,cf_inpc,cf_ofc,cf_tfoc,cf_nfl,cf_exch,cf_ninc
925,2310.0,浙江省青少年发展基金会,2016,浙江省青少年发展基金会,"32,171,834.69",0.00,0.00,0.00,"200,000.00","4,521,189.03","36,893,023.72","29,412,648.99",0.00,"525,686.06","800,623.87","30,738,958.92","6,154,064.80",0.00,"1,321,023.49",0.00,0.00,"1,321,023.49","40,350.00","106,192,476.50",0.00,"106,232,826.50","-104,911,803.01",0.00,0.00,0.00,0.00,0.00,"10,581.12","10,581.12","-10,581.12",0.00,"-99,341,878.32"
926,4322.0,黑龙江幼儿师范高等专科学校教育发展基金会,2016,黑龙江幼儿师范高等专科学校教育发展基金会,0.00,0.00,0.00,0.00,0.00,546.54,546.54,0.00,0.00,0.00,"1,232.50","1,232.50",-685.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-685.96
927,3132.0,长春市公安民警优抚基金会,2016,长春市公安民警优抚基金会,0.00,0.00,0.00,0.00,0.00,"21,813.07","21,813.07","5,803,700.00",0.00,0.00,"14,155.00","5,817,855.00","-5,796,041.93",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-5,796,041.93"
928,1642.0,广西青少年发展基金会,2016,广西青少年发展基金会,"22,774,227.56",0.00,0.00,0.00,0.00,"927,831.88","23,702,059.44","27,279,932.32","102,065.00",0.00,"110,451.93","27,492,449.25","-3,790,389.81",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-3,790,389.81"
929,3191.0,陕西省府谷县城乡居民大病医疗救助基金会,2016,陕西省府谷县城乡居民大病医疗救助基金会,0.00,0.00,0.00,0.00,"3,956,168.35",0.00,"3,956,168.35",0.00,0.00,0.00,0.00,0.00,"3,956,168.35","30,000,000.00",0.00,0.00,0.00,"30,000,000.00",0.00,0.00,"15,000,000.00","15,000,000.00","15,000,000.00",0.00,0.00,0.00,0.00,0.00,300.00,300.00,-300.00,0.00,"18,955,868.35"
930,2963.0,贵州省六盘水市见义勇为基金会,2016,贵州省六盘水市见义勇为基金会,"328,226.76",0.00,0.00,0.00,"200,000.00","50,770.35","578,997.11","484,124.00","7,200.00",0.00,"151,643.09","642,967.09","-63,969.98",0.00,"335,003.63",0.00,0.00,"335,003.63",0.00,0.00,0.00,0.00,"335,003.63",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"271,033.65"
931,4413.0,东北电力大学教育基金会,2016,东北电力大学教育基金会,"147,200.00",0.00,0.00,0.00,0.00,"8,292.59","155,492.59","218,996.00",0.00,0.00,"4,945.00","223,941.00","-68,448.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-68,448.41"
932,5104.0,重庆市江北群团公益基金会,2016,重庆市江北群团公益基金会,"4,616,948.38",0.00,0.00,0.00,"4,000,000.00","19,682.97","8,636,631.35","297,622.66","132,898.98","271,809.07","16,223.01","718,553.72","7,918,077.63",0.00,0.00,0.00,0.00,0.00,"19,499.00",0.00,0.00,"19,499.00","-19,499.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
933,1052.0,大连市见义勇为基金会,2016,大连市见义勇为基金会,0.00,0.00,0.00,0.00,0.00,"139,543.93","139,543.93","575,663.00","78,702.91","199,195.89","12,448.00","866,009.80","-726,465.87","1,500,000.00","1,600,000.00",0.00,0.00,"3,100,000.00",0.00,"3,000,000.00",0.00,"3,000,000.00","100,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-626,465.87"
934,253.0,中国生物多样性保护与绿色发展基金会,2016,中国生物多样性保护与绿色发展基金会,"5,312,464.55",0.00,"241,489.50",0.00,"1,690,000.00","6,786,628.19","14,030,582.24","13,242,452.39","405,900.72",0.00,"1,793,559.12","15,441,912.23","-1,411,329.99","13,000,000.00","536,056.16",0.00,0.00,"13,536,056.16","13,495.00","14,200,000.00",284.00,"14,213,779.00","-677,722.84",0.00,0.00,0.00,0.00,0.00,"1,710.00","1,710.00","-1,710.00","3,975.82","-2,086,787.01"
935,1843.0,榆林学院教育发展基金会,2016,榆林学院教育发展基金会,"2,905,978.00",0.00,0.00,0.00,0.00,"48,196.22","2,954,174.22","1,157,142.00","36,000.00","7,542.00","81,549.00","1,282,233.00","1,671,941.22",0.00,0.00,0.00,0.00,0.00,"260,000.00",0.00,0.00,"260,000.00","-260,000.00",0.00,0.00,0.00,0.00,0.00,"2,157.49","2,157.49","-2,157.49",0.00,"1,409,783.73"
936,230.0,中国妇女发展基金会,2016,中国妇女发展基金会,"274,123,381.24",0.00,0.00,0.00,"300,000,000.00","20,811,853.75","594,935,234.99","447,193,215.26","12,386,792.56",0.00,"19,785,427.51","479,365,435.33","115,569,799.66","342,500,000.00","7,735,540.19","3,694.30",0.00,"350,239,234.49","505,136.00","328,400,000.00",0.00,"328,905,136.00","21,334,098.49",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"136,903,898.15"
937,973.0,嘉兴市秀洲区农业技术推广基金会,2016,嘉兴市秀洲区农业技术推广基金会,"50,000.00",0.00,0.00,0.00,"800,000.00","13,339.46","863,339.46","1,681,250.00","107,750.00",0.00,"473,448.11","2,262,448.11","-1,399,108.65","1,000,000.00","898,515.98",0.00,0.00,"1,898,515.98","9,400.00","1,000,000.00",0.00,"1,009,400.00","889,115.98",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-509,992.67"
938,2299.0,浙江省维德慈善基金会,2016,浙江省维德慈善基金会,0.00,0.00,0.00,0.00,0.00,"3,926.62","3,926.62","50,000.00",0.00,0.00,"2,360.00","52,360.00","-48,433.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-48,433.38"
939,3618.0,云南省光彩事业基金会,2016,云南省光彩事业基金会,"7,876,200.00",0.00,0.00,0.00,0.00,"5,000.00","7,881,200.00",0.00,"96,033.91","7,647,286.85","30,234.34","7,773,555.10","107,644.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"38,754.97","38,754.97",0.00,0.00,0.00,0.00,"38,754.97",0.00,"146,399.87"
