,ao_ad,ao_adex,ao_adn,ao_ate,ao_cc,ao_dd,ao_ddc,ao_ddi,ao_ddin,ao_ddn,ao_ddnn,ao_lst,ao_nni,ao_nnin,ao_od,ao_odi,ao_odin,ao_odn,ao_odnn,ao_odnnn,ao_oth,ao_slr,ba_cn,fp_yr,name,ricf_oid
150,"10,034,949.44","148,194.61","4,550,000.00","14,590,136.55","14,140,141.94","10,034,949.44","264,949.44","9,770,000.00","4,550,000.00","4,550,000.00",0.00,"3,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"449,994.61",中国煤矿尘肺病防治基金会,2016,中国煤矿尘肺病防治基金会,250.0
151,"17,578,998.50","113,025.50",0.00,"39,220,907.30","38,328,741.80","17,578,998.50",0.00,"17,578,998.50",0.00,0.00,0.00,"236,297,378.65",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"749,500.00","29,640.00",紫金矿业慈善基金会,2016,紫金矿业慈善基金会,2841.0
152,"7,872,676.00","43,591.57",0.00,"5,493,291.57","5,412,500.00","7,872,676.00",0.00,"7,872,676.00",0.00,0.00,0.00,null,0.00,null,0.00,0.00,0.00,0.00,0.00,0.00,null,"37,200.00",大连市公安民警救助基金会,2016,大连市公安民警救助基金会,1045.0
153,"1,664,130.28","37,790.00",0.00,"1,361,790.00","1,324,000.00","1,664,130.28","674,130.28","990,000.00",0.00,0.00,0.00,"1,821,649.72",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,0.00,朝阳市教育基金会,2016,朝阳市教育基金会,3731.0
154,"21,027,822.90","459,065.54",0.00,"32,327,677.91","31,850,779.99","21,027,822.90","26,400.00","21,001,422.90",0.00,0.00,0.00,"400,161,835.91",null,null,0.00,0.00,0.00,0.00,0.00,0.00,"6,952.38","10,880.00",中远海运慈善基金会,2016,中远海运慈善基金会,284.0
155,0.00,"15,690.05",0.00,"435,220.05","353,600.00",0.00,0.00,0.00,0.00,0.00,0.00,"3,551,923.36",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"46,730.00","19,200.00",福建运盛青年基金会,2016,福建运盛青年基金会,2831.0
156,"1,541,077.60","5,568.80",0.00,"1,286,328.00","1,251,509.20","1,541,077.60","73,077.60","1,468,000.00",0.00,0.00,0.00,"1,710,547.51",null,null,0.00,0.00,0.00,0.00,0.00,0.00,null,"29,250.00",台州市黄岩区慈善基金会,2016,台州市黄岩区慈善基金会,890.0
157,"9,000,000.00","10,008.48",0.00,"9,010,008.48","9,000,000.00","9,000,000.00","9,000,000.00",0.00,0.00,0.00,0.00,"2,189,638.94",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,云南启航教育基金会,2016,云南启航教育基金会,316.0
158,"274,876.90","3,500.00",0.00,"368,385.00","361,978.00","274,876.90","274,876.90",0.00,0.00,0.00,0.00,null,null,null,0.00,0.00,0.00,0.00,0.00,0.00,407.00,"2,500.00",河南省老年文化事业发展基金会,2016,河南省老年文化事业发展基金会,2147.0
159,"669,200.00","5,234.50",0.00,"110,263.50","105,029.00","669,200.00",0.00,"669,200.00",0.00,0.00,0.00,"1,687,627.17",0.00,null,0.00,0.00,0.00,0.00,0.00,0.00,null,0.00,河北省慈惠癌症防治基金会,2016,河北省慈惠癌症防治基金会,3977.0
