ba_cn	ind_year	ricf_oid
上海市普陀区教育奖励基金会	2015	78
上海市杨浦区教育奖励基金会	2013	79
上海市杨浦区教育奖励基金会	2014	79
上海市杨浦区教育奖励基金会	2015	79
上海市残疾人福利基金会	2013	80
上海市残疾人福利基金会	2014	80
上海市残疾人福利基金会	2015	80
上海市民帮困互助基金会	2013	81
上海市帮困互助基金会	2014	81
上海市帮困互助基金会	2015	81
上海市浦东新区教育发展基金会	2013	82
上海市浦东新区教育发展基金会	2014	82
上海市浦东新区教育发展基金会	2015	82
上海市爱心帮教基金会	2013	83
上海市爱心帮教基金会	2014	83
上海市爱心帮教基金会	2015	83
上海市甬协公益基金会	2013	84
上海市甬协公益基金会	2014	84
上海市甬协公益基金会	2015	84
上海市科普基金会	2013	85
上海市科普基金会	2014	85
上海市科普基金会	2015	85
上海市老年基金会	2013	86
上海市老年基金会	2014	86
上海市老年基金会	2015	86
上海市职工帮困基金会	2013	87
上海市职工帮困基金会	2014	87
上海市职工帮困基金会	2015	87
上海市自然与健康基金会	2013	88
上海市自然与健康基金会	2014	88
上海市自然与健康基金会	2015	88
上海市虹口区教育基金会	2013	89
上海市虹口区教育基金会	2014	89
上海市虹口区教育基金会	2015	89
上海市长宁区教育基金会	2013	90
上海市长宁区教育基金会	2014	90
上海市长宁区教育基金会	2015	90
上海市闵行区中小幼教师奖励基金会	2013	91
上海市闵行区中小幼教师奖励基金会	2014	91
上海市闵行区中小幼教师奖励基金会	2015	91
上海市闸北区教育基金会	2013	92
上海市闸北区教育基金会	2014	92
上海市闸北区教育基金会	2015	92
上海市防癌抗癌事业发展基金会	2013	93
上海市防癌抗癌事业发展基金会	2014	93
上海市防癌抗癌事业发展基金会	2015	93
上海市青少年发展基金会	2013	94
上海市青少年发展基金会	2014	94
上海市青少年发展基金会	2015	94
上海市青年创业就业基金会	2013	95
上海市青年创业就业基金会	2014	95
上海市青年创业就业基金会	2015	95
上海市青浦区教育基金会	2013	96
上海市青浦区教育基金会	2014	96
上海市青浦区教育基金会	2015	96
上海市静安区教育基金会	2013	97
上海市静安区教育基金会	2014	97
上海市静安区教育基金会	2015	97
上海市黄浦区教育基金会	2013	98
上海市黄浦区教育基金会	2014	98
上海市黄浦区教育基金会	2015	98
上海师范大学教育发展基金会	2013	99
上海师范大学教育发展基金会	2014	99
上海师范大学教育发展基金会	2015	99
上海应用技术学院教育发展基金会	2013	100
上海应用技术学院教育发展基金会	2014	100
上海应用技术学院教育发展基金会	2015	100
上海志成公益基金会	2013	101
上海志成公益基金会	2014	101
上海志成公益基金会	2015	101
上海思麦公益基金会	2013	102
上海思麦公益基金会	2014	102
上海思麦公益基金会	2015	102
上海恩德公益基金会	2013	103
上海恩德公益基金会	2014	103
上海恩德公益基金会	2015	103
上海慈慧公益基金会	2013	104
上海慈慧公益基金会	2014	104
上海慈慧公益基金会	2015	104
上海慈源爱心基金会	2013	105
上海慈源爱心基金会	2014	105
上海慈源爱心基金会	2015	105
上海文化发展基金会	2013	106
上海文化发展基金会	2014	106
上海文化发展基金会	2015	106
上海文学发展基金会	2013	107
上海文学发展基金会	2014	107
上海文学发展基金会	2015	107
上海新世纪社会发展基金会	2013	108
上海新世纪社会发展基金会	2014	108
上海新世纪社会发展基金会	2015	108
上海新建桥老龄事业发展基金会	2013	109
上海新建桥老龄事业发展基金会	2014	109
上海新建桥老龄事业发展基金会	2015	109
上海新泰高新技术研究与发展基金会	2013	110
上海新泰高新技术研究与发展基金会	2014	110
上海新泰高新技术研究与发展基金会	2015	110
上海明德公益基金会	2013	111
上海明德公益基金会	2014	111
上海明德公益基金会	2015	111
上海曙光中医药研究发展基金会	2013	112
上海曙光中医药研究发展基金会	2014	112
上海曙光中医药研究发展基金会	2015	112
上海有爱公益基金会	2013	113
上海有爱公益基金会	2014	113
上海有爱公益基金会	2015	113
上海木兰教育基金会	2013	114
上海木兰教育基金会	2014	114
上海木兰教育基金会	2015	114
上海民建扶帮公益基金会	2013	115
上海民建扶帮公益基金会	2014	115
上海民建扶帮公益基金会	2015	115
上海民生公益基金会	2013	116
上海民生公益基金会	2014	116
上海民生公益基金会	2015	116
上海民生艺术基金会	2013	117
上海民生艺术基金会	2014	117
上海民生艺术基金会	2015	117
上海水资源保护基金会	2013	118
上海水资源保护基金会	2014	118
上海水资源保护基金会	2015	118
上海汇添富公益基金会	2013	119
上海汇添富公益基金会	2014	119
上海汇添富公益基金会	2015	119
上海汉庭社会公益基金会	2013	120
上海汉庭社会公益基金会	2014	120
上海汉庭社会公益基金会	2015	120
上海汤臣慈善基金会	2013	121
上海汤臣慈善基金会	2014	121
上海汤臣慈善基金会	2015	121
上海汽车工业教育基金会	2013	122
上海汽车工业教育基金会	2014	122
上海汽车工业教育基金会	2015	122
上海汽车工业科技发展基金会	2013	123
上海汽车工业科技发展基金会	2014	123
上海汽车工业科技发展基金会	2015	123
上海沪利历史建筑和都市改造基金会	2013	124
上海沪利历史建筑和都市改造基金会	2014	124
上海沪利历史建筑和都市改造基金会	2015	124
上海浦东新区社会发展基金会	2013	125
上海浦东新区社会发展基金会	2014	125
上海浦东新区社会发展基金会	2015	125
上海浦发公益基金会	2013	126
上海浦发公益基金会	2014	126
上海浦发公益基金会	2015	126
上海海事大学教育发展基金会	2013	127
上海海事大学教育发展基金会	2014	127
上海海事大学教育发展基金会	2015	127
上海海洋大学教育发展基金会	2013	128
上海海洋大学教育发展基金会	2014	128
上海海洋大学教育发展基金会	2015	128
上海淑德公益基金会	2013	129
上海淑德公益基金会	2014	129
上海淑德公益基金会	2015	129
上海特殊关爱基金会	2013	130
上海特殊关爱基金会	2014	130
上海特殊关爱基金会	2015	130
上海现代服务业发展研究基金会	2013	131
上海现代服务业发展研究基金会	2014	131
上海现代服务业发展研究基金会	2015	131
上海理工大学教育发展基金会	2013	132
上海理工大学教育发展基金会	2014	132
上海理工大学教育发展基金会	2015	132
上海电力学院教育发展基金会	2013	133
上海电力学院教育发展基金会	2014	133
上海电力学院教育发展基金会	2015	133
上海百马慈善基金会	2013	134
上海百马慈善基金会	2014	134
上海百马慈善基金会	2015	134
上海盛立公益基金会	2013	135
上海盛立公益基金会	2014	135
上海盛立公益基金会	2015	135
上海真爱梦想公益基金会	2013	136
上海真爱梦想公益基金会	2014	136
上海真爱梦想公益基金会	2015	136
上海科技发展基金会	2013	137
上海科技发展基金会	2014	137
上海科技发展基金会	2015	137
上海科普教育发展基金会	2013	138
上海科普教育发展基金会	2014	138
上海科普教育发展基金会	2015	138
上海立信会计学院潘序伦教育发展基金会	2013	139
上海立信会计学院潘序伦教育发展基金会	2014	139
上海立信会计学院潘序伦教育发展基金会	2015	139
上海第一财经公益基金会	2013	140
上海第一财经公益基金会	2014	140
上海第一财经公益基金会	2015	140
上海美丽心灵社区公益基金会	2013	141
上海美丽心灵社区公益基金会	2014	141
上海美丽心灵社区公益基金会	2015	141
上海联劝公益基金会	2013	142
上海联劝公益基金会	2014	142
上海联劝公益基金会	2015	142
上海联和新泰战略研究与发展基金会	2013	143
上海联和新泰战略研究与发展基金会	2014	143
上海联和新泰战略研究与发展基金会	2015	143
上海能近公益基金会	2013	144
上海能近公益基金会	2014	144
上海能近公益基金会	2015	144
上海视觉艺术学院教育发展基金会	2013	145
上海视觉艺术学院教育发展基金会	2014	145
上海视觉艺术学院教育发展基金会	2015	145
上海财经大学教育发展基金会	2013	146
上海财经大学教育发展基金会	2014	146
上海财经大学教育发展基金会	2015	146
上海郑桓公文化研究基金会	2013	147
上海郑桓公文化研究基金会	2014	147
上海郑桓公文化研究基金会	2015	147
上海金山卫镇为民大病重病帮扶基金会	2013	148
上海金山卫镇为民大病重病帮扶基金会	2014	148
上海金山卫镇为民大病重病帮扶基金会	2015	148
上海钟笑炉集邮基金会	2013	149
上海钟笑炉集邮基金会	2014	149
上海钟笑炉集邮基金会	2015	149
上海长江出版交流基金会	2013	150
上海长江出版交流基金会	2014	150
上海长江出版交流基金会	2015	150
上海阎宝航社会公益基金会	2013	151
上海阎宝航社会公益基金会	2014	151
上海阎宝航社会公益基金会	2015	151
上海阮仪三城市遗产保护基金会	2013	152
上海阮仪三城市遗产保护基金会	2014	152
上海阮仪三城市遗产保护基金会	2015	152
上海阳光公益基金会	2013	153
上海阳光公益基金会	2014	153
上海阳光公益基金会	2015	153
上海韩哲一教育扶贫基金会	2013	154
上海韩哲一教育扶贫基金会	2014	154
上海韩哲一教育扶贫基金会	2015	154
上海颜德馨中医药基金会	2013	155
上海颜德馨中医药基金会	2014	155
上海颜德馨中医药基金会	2015	155
东丰县见义勇为基金会	2013	156
东丰县见义勇为基金会	2014	156
东丰县见义勇为基金会	2015	156
东兴市同心献爱基金会	2013	157
东兴市同心献爱基金会	2014	157
东兴市同心献爱基金会	2015	157
东北师大附中教育发展基金会	2013	158
东北师大附中教育发展基金会	2014	158
东北师大附中教育发展基金会	2015	158
东北师范大学教育基金会	2013	159
东北师范大学教育基金会	2014	159
东北师范大学教育基金会	2015	159
东南大学成贤学院教育发展基金会	2013	160
东南大学成贤学院教育发展基金会	2014	160
东南大学成贤学院教育发展基金会	2015	160
东南大学教育基金会	2013	161
东南大学教育基金会	2014	161
东南大学教育基金会	2015	161
东台市慈善基金会	2013	162
东台市慈善基金会	2014	162
东台市慈善基金会	2015	162
东台市见义勇为基金会	2013	163
东台市见义勇为基金会	2014	163
东台市见义勇为基金会	2015	163
东台市阳光助残基金会	2013	164
东台市阳光助残基金会	2014	164
东台市阳光助残基金会	2015	164
东安县教育基金会	2013	165
东安县教育基金会	2014	165
东安县教育基金会	2015	165
东海县见义勇为基金会	2013	166
东海县见义勇为基金会	2014	166
东海县见义勇为基金会	2015	166
东莞市东莞理工学院教育发展基金会	2013	167
东莞市东莞理工学院教育发展基金会	2014	167
东莞市东莞理工学院教育发展基金会	2015	167
东莞市医疗救济基金会	2013	168
东莞市医疗救济基金会	2014	168
东莞市医疗救济基金会	2015	168
东莞市残疾人福利基金会	2013	169
东莞市残疾人福利基金会	2014	169
东莞市残疾人福利基金会	2015	169
东莞市沙田教育基金会	2013	170
东莞市沙田教育基金会	2014	170
东莞市沙田教育基金会	2015	170
东莞市见义勇为基金会	2013	171
东莞市见义勇为基金会	2014	171
东莞市见义勇为基金会	2015	171
东营市见义勇为基金会	2013	172
东营市见义勇为基金会	2014	172
东营市见义勇为基金会	2015	172
东辽县见义勇为基金会	2013	173
东辽县见义勇为基金会	2014	173
东辽县见义勇为基金会	2015	173
东阳市社会治安综合治理基金会	2013	174
东阳市社会治安综合治理基金会	2014	174
东阳市社会治安综合治理基金会	2015	174
东风公益基金会	2013	175
东风公益基金会	2014	175
东风公益基金会	2015	175
中关村教育基金会	2013	176
中关村教育基金会	2014	176
中关村教育基金会	2015	176
中兴通讯公益基金会	2013	177
中兴通讯公益基金会	2014	177
中兴通讯公益基金会	2015	177
中华健康快车基金会	2013	178
中华健康快车基金会	2014	178
中华健康快车基金会	2015	178
中华全国体育基金会	2013	179
中华全国体育基金会	2014	179
中华全国体育基金会	2015	179
中华农业科教基金会	2013	180
中华农业科教基金会	2014	180
中华农业科教基金会	2015	180
中华同心温暖工程基金会	2013	181
中华同心温暖工程基金会	2014	181
中华同心温暖工程基金会	2015	181
中华国际医学交流基金会	2013	182
中华国际医学交流基金会	2014	182
中华国际医学交流基金会	2015	182
中华国际科学交流基金会	2013	183
中华国际科学交流基金会	2014	183
中华国际科学交流基金会	2015	183
中华少年儿童慈善救助基金会	2013	184
中华少年儿童慈善救助基金会	2014	184
中华少年儿童慈善救助基金会	2015	184
中华思源工程扶贫基金会	2013	185
中华思源工程扶贫基金会	2014	185
中华思源工程扶贫基金会	2015	185
中华文学基金会	2013	186
中华文学基金会	2014	186
中华文学基金会	2015	186
中华环境保护基金会	2013	187
中华环境保护基金会	2014	187
中华环境保护基金会	2015	187
中华社会救助基金会	2013	188
中华社会救助基金会	2014	188
中华社会救助基金会	2015	188
中华社会文化发展基金会	2013	189
中华社会文化发展基金会	2014	189
中华社会文化发展基金会	2015	189
中华艺文基金会	2013	190
中华艺文基金会	2014	190
中华艺文基金会	2015	190
中华见义勇为基金会	2013	191
中华见义勇为基金会	2014	191
中华见义勇为基金会	2015	191
中华诗词发展基金会	2013	192
中华诗词发展基金会	2014	192
中华诗词发展基金会	2015	192
中南大学教育基金会	2013	193
中南大学教育基金会	2014	193
中南大学教育基金会	2015	193
中南民族大学教育发展基金会	2013	194
中南民族大学教育发展基金会	2014	194
中南民族大学教育发展基金会	2015	194
中南财经政法大学教育发展基金会	2013	195
中南财经政法大学教育发展基金会	2014	195
中南财经政法大学教育发展基金会	2015	195
中卫市公益慈善基金会	2013	196
中卫市公益慈善基金会	2014	196
中卫市公益慈善基金会	2015	196
中国下一代教育基金会	2013	197
中国下一代教育基金会	2014	197
中国下一代教育基金会	2015	197
中国交响乐发展基金会	2013	198
中国交响乐发展基金会	2014	198
中国交响乐发展基金会	2015	198
中国京剧艺术基金会	2013	199
中国京剧艺术基金会	2014	199
中国京剧艺术基金会	2015	199
中国人口福利基金会	2013	200
中国人口福利基金会	2014	200
中国人口福利基金会	2015	200
中国人寿慈善基金会	2013	201
中国人寿慈善基金会	2014	201
中国人寿慈善基金会	2015	201
中国人权发展基金会	2013	202
中国人权发展基金会	2014	202
中国人权发展基金会	2015	202
中国企业管理科学基金会	2013	203
中国企业管理科学基金会	2014	203
中国企业管理科学基金会	2015	203
中国传媒大学南广学院教育发展基金会	2013	204
中国传媒大学南广学院教育发展基金会	2014	204
中国传媒大学南广学院教育发展基金会	2015	204
中国保护消费者基金会	2013	205
中国保护消费者基金会	2014	205
中国保护消费者基金会	2015	205
中国健康促进基金会	2013	206
中国健康促进基金会	2014	206
中国健康促进基金会	2015	206
中国儿童少年基金会	2013	207
中国儿童少年基金会	2014	207
中国儿童少年基金会	2015	207
中国光华科技基金会	2013	208
中国光华科技基金会	2014	208
中国光华科技基金会	2015	208
中国光彩事业基金会	2013	209
中国光彩事业基金会	2014	209
中国光彩事业基金会	2015	209
中国公安民警英烈基金会	2013	210
中国公安民警英烈基金会	2014	210
中国公安民警英烈基金会	2015	210
中国关心下一代健康体育基金会	2013	211
中国关心下一代健康体育基金会	2014	211
中国关心下一代健康体育基金会	2015	211
中国农业大学教育基金会	2013	212
中国农业大学教育基金会	2014	212
中国农业大学教育基金会	2015	212
中国出生缺陷干预救助基金会	2013	213
中国出生缺陷干预救助基金会	2014	213
中国出生缺陷干预救助基金会	2015	213
中国初级卫生保健基金会	2013	214
中国初级卫生保健基金会	2014	214
中国初级卫生保健基金会	2015	214
中国医学基金会	2013	215
中国医学基金会	2014	215
中国医学基金会	2015	215
中国医药卫生事业发展基金会	2013	216
中国医药卫生事业发展基金会	2014	216
中国医药卫生事业发展基金会	2015	216
中国华侨公益基金会	2013	217
中国华侨公益基金会	2014	217
中国华侨公益基金会	2015	217
中国华夏文化遗产基金会	2013	218
中国华夏文化遗产基金会	2014	218
中国华夏文化遗产基金会	2015	218
中国华文教育基金会	2013	219
中国华文教育基金会	2014	219
中国华文教育基金会	2015	219
中国博士后科学基金会	2013	220
中国博士后科学基金会	2014	220
中国博士后科学基金会	2015	220
中国友好和平发展基金会	2013	221
中国友好和平发展基金会	2014	221
中国友好和平发展基金会	2015	221
中国发展研究基金会	2013	222
中国发展研究基金会	2014	222
中国发展研究基金会	2015	222
中国古生物化石保护基金会	2013	223
中国古生物化石保护基金会	2014	223
中国古生物化石保护基金会	2015	223
中国听力医学发展基金会	2013	224
中国听力医学发展基金会	2014	224
中国听力医学发展基金会	2015	224
中国和平发展基金会	2013	225
中国和平发展基金会	2014	225
中国和平发展基金会	2015	225
中国国际战略研究基金会	2013	226
中国国际战略研究基金会	2014	226
中国国际战略研究基金会	2015	226
中国国际文化交流基金会	2013	227
中国国际文化交流基金会	2014	227
中国国际文化交流基金会	2015	227
中国国际问题研究基金会	2013	228
中国国际问题研究基金会	2014	228
中国国际问题研究基金会	2015	228
中国地质大学(武汉)教育发展基金会	2013	229
中国地质大学(武汉)教育发展基金会	2014	229
中国地质大学(武汉)教育发展基金会	2015	229
中国妇女发展基金会	2013	230
中国妇女发展基金会	2014	230
中国妇女发展基金会	2015	230
中国孔子基金会	2013	231
中国孔子基金会	2014	231
中国孔子基金会	2015	231
中国宋庆龄基金会	2013	232
中国宋庆龄基金会	2014	232
中国宋庆龄基金会	2015	232
中国少年儿童文化艺术基金会	2013	233
中国少年儿童文化艺术基金会	2014	233
中国少年儿童文化艺术基金会	2015	233
中国少数民族文化艺术基金会	2013	234
中国少数民族文化艺术基金会	2014	234
中国少数民族文化艺术基金会	2015	234
中国志愿服务基金会	2013	235
中国志愿服务基金会	2014	235
中国志愿服务基金会	2015	235
中国扶贫基金会	2013	236
中国扶贫基金会	2014	236
中国扶贫基金会	2015	236
中国拥军优属基金会	2013	237
中国拥军优属基金会	2014	237
中国拥军优属基金会	2015	237
中国教师发展基金会	2013	238
中国教师发展基金会	2014	238
中国教师发展基金会	2015	238
中国教育发展基金会	2013	239
中国教育发展基金会	2014	239
中国教育发展基金会	2015	239
中国敦煌石窟保护研究基金会	2013	240
中国敦煌石窟保护研究基金会	2014	240
中国敦煌石窟保护研究基金会	2015	240
中国文学艺术基金会	2013	241
中国文学艺术基金会	2014	241
中国文学艺术基金会	2015	241
中国文物保护基金会	2013	242
中国文物保护基金会	2014	242
中国文物保护基金会	2015	242
中国检察官教育基金会	2013	243
中国检察官教育基金会	2014	243
中国检察官教育基金会	2015	243
中国残疾人福利基金会	2013	244
中国残疾人福利基金会	2014	244
中国残疾人福利基金会	2015	244
中国民航科普基金会	2013	245
中国民航科普基金会	2014	245
中国民航科普基金会	2015	245
中国治理荒漠化基金会	2013	246
中国治理荒漠化基金会	2014	246
中国治理荒漠化基金会	2015	246
中国法学交流基金会	2013	247
中国法学交流基金会	2014	247
中国法学交流基金会	2015	247
中国法律援助基金会	2013	248
中国法律援助基金会	2014	248
中国法律援助基金会	2015	248
中国海油海洋环境与生态保护公益基金会	2013	249
中国海油海洋环境与生态保护公益基金会	2014	249
中国海油海洋环境与生态保护公益基金会	2015	249
中国煤矿尘肺病防治基金会	2013	250
中国煤矿尘肺病防治基金会	2014	250
中国煤矿尘肺病防治基金会	2015	250
中国煤矿文化宣传基金会	2013	251
中国煤矿文化宣传基金会	2014	251
中国煤矿文化宣传基金会	2015	251
中国牙病防治基金会	2013	252
中国牙病防治基金会	2014	252
中国牙病防治基金会	2015	252
中国生物多样性保护与绿色发展基金会	2013	253
中国生物多样性保护与绿色发展基金会	2014	253
中国生物多样性保护与绿色发展基金会	2015	253
中国电影基金会	2013	254
中国电影基金会	2014	254
中国电影基金会	2015	254
中国留学人才发展基金会	2013	255
中国留学人才发展基金会	2014	255
中国留学人才发展基金会	2015	255
中国癌症基金会	2013	256
中国癌症基金会	2014	256
中国癌症基金会	2015	256
中国益民文化建设基金会	2013	257
中国益民文化建设基金会	2014	257
中国益民文化建设基金会	2015	257
