	ba_cn	ind_year	ricf_oid	ba_uscc	nm_offi
66	上海兴韦信息技术职业学院教育发展基金会	2013	23		
67	上海兴韦信息技术职业学院教育发展基金会	2014	23		
68	上海兴韦信息技术职业学院教育发展基金会	2015	23		
69	上海刘浩清公益基金会	2013	24	53310000501781394N	上海刘浩清公益基金会
70	上海刘浩清公益基金会	2014	24	53310000501781394N	上海刘浩清公益基金会
71	上海刘浩清公益基金会	2015	24	53310000501781394N	上海刘浩清公益基金会
72	上海医学创新发展基金会	2013	25	53310000501782231Q	上海医学创新发展基金会
73	上海医学创新发展基金会	2014	25	53310000501782231Q	上海医学创新发展基金会
74	上海医学创新发展基金会	2015	25	53310000501782231Q	上海医学创新发展基金会
75	上海华东政法大学教育发展基金会	2013	26	533100005017816694	上海华东政法大学教育发展基金会
76	上海华东政法大学教育发展基金会	2014	26	533100005017816694	上海华东政法大学教育发展基金会
77	上海华东政法大学教育发展基金会	2015	26	533100005017816694	上海华东政法大学教育发展基金会
78	上海华东理工大学教育发展基金会	2013	27	533100005017817738	上海华东理工大学教育发展基金会
79	上海华东理工大学教育发展基金会	2014	27	533100005017817738	上海华东理工大学教育发展基金会
80	上海华东理工大学教育发展基金会	2015	27	533100005017817738	上海华东理工大学教育发展基金会
81	上海华信公益基金会	2013	28	53310000501781618U	上海华信公益基金会
82	上海华信公益基金会	2014	28	53310000501781618U	上海华信公益基金会
83	上海华信公益基金会	2015	28	53310000501781618U	上海华信公益基金会
84	上海华杰仁爱基金会	2013	29	533100005017795856	上海华杰仁爱基金会
85	上海华杰仁爱基金会	2014	29	533100005017795856	上海华杰仁爱基金会
86	上海华杰仁爱基金会	2015	29	533100005017795856	上海华杰仁爱基金会
87	上海发展昆剧基金会	2013	30	533100005017728502	上海发展昆剧基金会
88	上海发展昆剧基金会	2014	30	533100005017728502	上海发展昆剧基金会
89	上海发展昆剧基金会	2015	30	533100005017728502	上海发展昆剧基金会
90	上海发展研究基金会	2013	31	5331000050177483X8	上海发展研究基金会
91	上海发展研究基金会	2014	31	5331000050177483X8	上海发展研究基金会
92	上海发展研究基金会	2015	31	5331000050177483X8	上海发展研究基金会
93	上海同济大学教育发展基金会	2013	32	5331000050177993X2	上海同济大学教育发展基金会
94	上海同济大学教育发展基金会	2014	32	5331000050177993X2	上海同济大学教育发展基金会
95	上海同济大学教育发展基金会	2015	32	5331000050177993X2	上海同济大学教育发展基金会
96	上海同济高廷耀环保科技发展基金会	2013	33	53310000501778750P	上海同济高廷耀环保科技发展基金会
97	上海同济高廷耀环保科技发展基金会	2014	33	53310000501778750P	上海同济高廷耀环保科技发展基金会
98	上海同济高廷耀环保科技发展基金会	2015	33	53310000501778750P	上海同济高廷耀环保科技发展基金会
99	上海向阳公益基金会	2013	34	53310000501781810E	上海向阳公益基金会
100	上海向阳公益基金会	2014	34	53310000501781810E	上海向阳公益基金会
101	上海向阳公益基金会	2015	34	53310000501781810E	上海向阳公益基金会
102	上海吴孟超医学科技基金会	2013	35	53310000501779155C	上海吴孟超医学科技基金会
103	上海吴孟超医学科技基金会	2014	35	53310000501779155C	上海吴孟超医学科技基金会
104	上海吴孟超医学科技基金会	2015	35	53310000501779155C	上海吴孟超医学科技基金会
105	上海唐君远教育基金会	2013	36	53310000501777387J	上海唐君远教育基金会
106	上海唐君远教育基金会	2014	36	53310000501777387J	上海唐君远教育基金会
107	上海唐君远教育基金会	2015	36	53310000501777387J	上海唐君远教育基金会
108	上海商学院教育发展基金会	2013	37	53310000501781992J	上海商学院教育发展基金会
109	上海商学院教育发展基金会	2014	37	53310000501781992J	上海商学院教育发展基金会
110	上海商学院教育发展基金会	2015	37	53310000501781992J	上海商学院教育发展基金会
111	上海喜玛拉雅文化艺术基金会	2013	38	53310000501782071H	上海喜玛拉雅文化艺术基金会
112	上海喜玛拉雅文化艺术基金会	2014	38	53310000501782071H	上海喜玛拉雅文化艺术基金会
113	上海喜玛拉雅文化艺术基金会	2015	38	53310000501782071H	上海喜玛拉雅文化艺术基金会
114	上海嘉宝公益基金会	2013	39	53310000501782354R	上海嘉宝公益基金会
115	上海嘉宝公益基金会	2014	39	53310000501782354R	上海嘉宝公益基金会
116	上海嘉宝公益基金会	2015	39	53310000501782354R	上海嘉宝公益基金会
117	上海国泰君安社会公益基金会	2013	40	533100005017818969	上海国泰君安社会公益基金会
118	上海国泰君安社会公益基金会	2014	40	533100005017818969	上海国泰君安社会公益基金会
119	上海国泰君安社会公益基金会	2015	40	533100005017818969	上海国泰君安社会公益基金会
120	上海国际经济交流基金会	2013	41	533100005017753309	上海国际经济交流基金会
121	上海国际经济交流基金会	2014	41	533100005017753309	上海国际经济交流基金会
122	上海国际经济交流基金会	2015	41	533100005017753309	上海国际经济交流基金会
123	上海复大公益基金会	2013	42	533100005017816507	上海复大公益基金会
124	上海复大公益基金会	2014	42	533100005017816507	上海复大公益基金会
125	上海复大公益基金会	2015	42	533100005017816507	上海复大公益基金会
126	上海复旦大学教育发展基金会	2013	43	53310000501779147H	上海复旦大学教育发展基金会
127	上海复旦大学教育发展基金会	2014	43	53310000501779147H	上海复旦大学教育发展基金会
128	上海复旦大学教育发展基金会	2015	43	53310000501779147H	上海复旦大学教育发展基金会
129	上海复星公益基金会	2013	44	53310000501782119R	上海复星公益基金会
130	上海复星公益基金会	2014	44	53310000501782119R	上海复星公益基金会
131	上海复星公益基金会	2015	44	53310000501782119R	上海复星公益基金会
132	上海夏征农民族文化教育发展基金会	2013	45	53310000501780666K	上海夏征农民族文化教育发展基金会
133	上海夏征农民族文化教育发展基金会	2014	45	53310000501780666K	上海夏征农民族文化教育发展基金会
134	上海夏征农民族文化教育发展基金会	2015	45	53310000501780666K	上海夏征农民族文化教育发展基金会
135	上海外国语大学教育发展基金会	2013	46	53310000501781095Q	上海外国语大学教育发展基金会
136	上海外国语大学教育发展基金会	2014	46	53310000501781095Q	上海外国语大学教育发展基金会
137	上海外国语大学教育发展基金会	2015	46	53310000501781095Q	上海外国语大学教育发展基金会
138	上海大成慈善基金会	2013	47	53310000501782725G	上海大成慈善基金会
139	上海大成慈善基金会	2014	47	53310000501782725G	上海大成慈善基金会
140	上海大成慈善基金会	2015	47	53310000501782725G	上海大成慈善基金会
141	上海天下文化发展基金会	2013	48	533100005017811169	上海天下文化发展基金会
142	上海天下文化发展基金会	2014	48	533100005017811169	上海天下文化发展基金会
143	上海天下文化发展基金会	2015	48	533100005017811169	上海天下文化发展基金会
144	上海宇兴爱心慈善基金会	2013	49	53310000501782557E	上海宇兴爱心慈善基金会
145	上海宇兴爱心慈善基金会	2014	49	53310000501782557E	上海宇兴爱心慈善基金会
146	上海宇兴爱心慈善基金会	2015	49	53310000501782557E	上海宇兴爱心慈善基金会
147	上海宋庆龄基金会	2013	50	53310000501775082K	上海宋庆龄基金会
148	上海宋庆龄基金会	2014	50	53310000501775082K	上海宋庆龄基金会
149	上海宋庆龄基金会	2015	50	53310000501775082K	上海宋庆龄基金会
150	上海富国环保公益基金会	2013	51	5331000050178187XE	上海富国环保公益基金会
151	上海富国环保公益基金会	2014	51	5331000050178187XE	上海富国环保公益基金会
152	上海富国环保公益基金会	2015	51	5331000050178187XE	上海富国环保公益基金会
153	上海工商界爱国建设特种基金会	2013	52	5331000050177387X5	上海工商界爱国建设特种基金会
154	上海工商界爱国建设特种基金会	2014	52	5331000050177387X5	上海工商界爱国建设特种基金会
155	上海工商界爱国建设特种基金会	2015	52	5331000050177387X5	上海工商界爱国建设特种基金会
156	上海巴斯德健康研究基金会	2013	53	53310000501780252F	上海巴斯德健康研究基金会
157	上海巴斯德健康研究基金会	2014	53	53310000501780252F	上海巴斯德健康研究基金会
158	上海巴斯德健康研究基金会	2015	53	53310000501780252F	上海巴斯德健康研究基金会
159	上海市中小学幼儿教师奖励基金会	2013	54	53310000501772199A	上海市中小学幼儿教师奖励基金会
160	上海市中小学幼儿教师奖励基金会	2014	54	53310000501772199A	上海市中小学幼儿教师奖励基金会
161	上海市中小学幼儿教师奖励基金会	2015	54	53310000501772199A	上海市中小学幼儿教师奖励基金会
162	上海市九段沙湿地自然保护基金会	2013	55	533100005017795263	上海市九段沙湿地自然保护基金会
163	上海市九段沙湿地自然保护基金会	2014	55	533100005017795263	上海市九段沙湿地自然保护基金会
164	上海市九段沙湿地自然保护基金会	2015	55	533100005017795263	上海市九段沙湿地自然保护基金会
165	上海市人口福利基金会	2013	56	53310000501772359H	上海市人口福利基金会
166	上海市人口福利基金会	2014	56	53310000501772359H	上海市人口福利基金会
167	上海市人口福利基金会	2015	56	53310000501772359H	上海市人口福利基金会
168	上海市体育发展基金会	2013	57	5331000050177301XH	上海市体育发展基金会
169	上海市体育发展基金会	2014	57	5331000050177301XH	上海市体育发展基金会
170	上海市体育发展基金会	2015	57	5331000050177301XH	上海市体育发展基金会
171	上海市促进科技成果转化基金会	2013	58	533100005017806236	上海市促进科技成果转化基金会
172	上海市促进科技成果转化基金会	2014	58	533100005017806236	上海市促进科技成果转化基金会
173	上海市促进科技成果转化基金会	2015	58	533100005017806236	上海市促进科技成果转化基金会
174	上海市儿童健康基金会	2013	59	53310000501772885L	上海市儿童健康基金会
175	上海市儿童健康基金会	2014	59	53310000501772885L	上海市儿童健康基金会
176	上海市儿童健康基金会	2015	59	53310000501772885L	上海市儿童健康基金会
177	上海市儿童基金会	2013	60	533100005017734741	上海市儿童基金会
178	上海市儿童基金会	2014	60	533100005017734741	上海市儿童基金会
179	上海市儿童基金会	2015	60	533100005017734741	上海市儿童基金会
180	上海市医药卫生发展基金会	2013	61	5331000050178195X2	上海市医药卫生发展基金会
181	上海市医药卫生发展基金会	2014	61	5331000050178195X2	上海市医药卫生发展基金会
182	上海市医药卫生发展基金会	2015	61	5331000050178195X2	上海市医药卫生发展基金会
183	上海市华东师范大学教育发展基金会	2013	62	53310000501780471R	上海市华东师范大学教育发展基金会
184	上海市华东师范大学教育发展基金会	2014	62	53310000501780471R	上海市华东师范大学教育发展基金会
185	上海市华东师范大学教育发展基金会	2015	62	53310000501780471R	上海市华东师范大学教育发展基金会
186	上海市华侨事业发展基金会	2013	63	53310000501779980D	上海市华侨事业发展基金会
187	上海市华侨事业发展基金会	2014	63	53310000501779980D	上海市华侨事业发展基金会
188	上海市华侨事业发展基金会	2015	63	53310000501779980D	上海市华侨事业发展基金会
189	上海市卢湾区教育基金会	2013	64	5331000050177280XN	上海市卢湾区教育基金会
190	上海市卢湾区教育基金会	2014	64	5331000050177280XN	上海市卢湾区教育基金会
191	上海市卢湾区教育基金会	2015	64	5331000050177280XN	上海市卢湾区教育基金会
192	上海市卫生系统青年人才奖励基金会	2013	65	5331000050177379XH	上海市卫生系统青年人才奖励基金会
193	上海市卫生系统青年人才奖励基金会	2014	65	5331000050177379XH	上海市卫生系统青年人才奖励基金会
194	上海市卫生系统青年人才奖励基金会	2015	65	5331000050177379XH	上海市卫生系统青年人才奖励基金会
195	上海市嘉定区教育奖励基金会	2013	66	53310000501772404J	上海市嘉定区教育奖励基金会
196	上海市嘉定区教育奖励基金会	2014	66	53310000501772404J	上海市嘉定区教育奖励基金会
197	上海市嘉定区教育奖励基金会	2015	66	53310000501772404J	上海市嘉定区教育奖励基金会
198	上海市大学生科技创业基金会	2013	67	53310000501780068P	上海市大学生科技创业基金会
199	上海市大学生科技创业基金会	2014	67	53310000501780068P	上海市大学生科技创业基金会
200	上海市大学生科技创业基金会	2015	67	53310000501780068P	上海市大学生科技创业基金会
201	上海市奉贤区教育基金会	2013	68	53310000501782530N	上海市奉贤区教育基金会
202	上海市奉贤区教育基金会	2014	68	53310000501782530N	上海市奉贤区教育基金会
203	上海市奉贤区教育基金会	2015	68	53310000501782530N	上海市奉贤区教育基金会
204	上海市奉贤建设工程科学技术发展基金会	2013	69	533100005017795931	上海市奉贤建设工程科学技术发展基金会
205	上海市奉贤建设工程科学技术发展基金会	2014	69	533100005017795931	上海市奉贤建设工程科学技术发展基金会
206	上海市奉贤建设工程科学技术发展基金会	2015	69	533100005017795931	上海市奉贤建设工程科学技术发展基金会
207	上海市安济医疗救助基金会	2013	70	533100005017799482	上海市安济医疗救助基金会
208	上海市安济医疗救助基金会	2014	70	533100005017799482	上海市安济医疗救助基金会
209	上海市安济医疗救助基金会	2015	70	533100005017799482	上海市安济医疗救助基金会
210	上海市宝山区教育发展基金会	2013	71	533100005017747332	上海市宝山区教育发展基金会
211	上海市宝山区教育发展基金会	2014	71	533100005017747332	上海市宝山区教育发展基金会
212	上海市宝山区教育发展基金会	2015	71	533100005017747332	上海市宝山区教育发展基金会
213	上海市应昌期围棋教育基金会	2013	72	5331000050177811XB	上海市应昌期围棋教育基金会
214	上海市应昌期围棋教育基金会	2014	72	5331000050177811XB	上海市应昌期围棋教育基金会
215	上海市应昌期围棋教育基金会	2015	72	5331000050177811XB	上海市应昌期围棋教育基金会
216	上海市建国社会公益基金会	2013	73	533100005017744937	上海市建国社会公益基金会
217	上海市建国社会公益基金会	2014	73	533100005017744937	上海市建国社会公益基金会
218	上海市建国社会公益基金会	2015	73	533100005017744937	上海市建国社会公益基金会
219	上海市徐汇区教育基金会	2013	74	53310000501772412D	上海市徐汇区教育基金会
220	上海市徐汇区教育基金会	2014	74	53310000501772412D	上海市徐汇区教育基金会
221	上海市徐汇区教育基金会	2015	74	53310000501772412D	上海市徐汇区教育基金会
222	上海市慈善基金会	2013	75	53310000501775488W	上海市慈善基金会
223	上海市慈善基金会	2014	75	53310000501775488W	上海市慈善基金会
224	上海市慈善基金会	2015	75	53310000501775488W	上海市慈善基金会
225	上海市拥军优属基金会	2013	76	53310000501776042N	上海市拥军优属基金会
226	上海市拥军优属基金会	2014	76	53310000501776042N	上海市拥军优属基金会
227	上海市拥军优属基金会	2015	76	53310000501776042N	上海市拥军优属基金会
228	上海市教育发展基金会	2013	77	53310000501775269J	上海市教育发展基金会
229	上海市教育发展基金会	2014	77	53310000501775269J	上海市教育发展基金会
230	上海市教育发展基金会	2015	77	53310000501775269J	上海市教育发展基金会
231	上海市普陀区教育奖励基金会	2013	78	53310000501773335A	上海市普陀区教育奖励基金会
232	上海市普陀区教育奖励基金会	2014	78	53310000501773335A	上海市普陀区教育奖励基金会
233	上海市普陀区教育奖励基金会	2015	78	53310000501773335A	上海市普陀区教育奖励基金会
234	上海市杨浦区教育奖励基金会	2013	79	53310000501772527K	上海市杨浦区教育奖励基金会
235	上海市杨浦区教育奖励基金会	2014	79	53310000501772527K	上海市杨浦区教育奖励基金会
236	上海市杨浦区教育奖励基金会	2015	79	53310000501772527K	上海市杨浦区教育奖励基金会
237	上海市残疾人福利基金会	2013	80	53310000501773837W	上海市残疾人福利基金会
238	上海市残疾人福利基金会	2014	80	53310000501773837W	上海市残疾人福利基金会
239	上海市残疾人福利基金会	2015	80	53310000501773837W	上海市残疾人福利基金会
240	上海市民帮困互助基金会	2013	81		
241	上海市帮困互助基金会	2014	81	53310000501778865X	上海市帮困互助基金会
242	上海市帮困互助基金会	2015	81	53310000501778865X	上海市帮困互助基金会
243	上海市浦东新区教育发展基金会	2013	82	533100005017727383	上海市浦东新区教育发展基金会
244	上海市浦东新区教育发展基金会	2014	82	533100005017727383	上海市浦东新区教育发展基金会
245	上海市浦东新区教育发展基金会	2015	82	533100005017727383	上海市浦东新区教育发展基金会
246	上海市爱心帮教基金会	2013	83	533100005017754615	上海市爱心帮教基金会
247	上海市爱心帮教基金会	2014	83	533100005017754615	上海市爱心帮教基金会
248	上海市爱心帮教基金会	2015	83	533100005017754615	上海市爱心帮教基金会
249	上海市甬协公益基金会	2013	84	53310000501779964P	上海市甬协公益基金会
250	上海市甬协公益基金会	2014	84	53310000501779964P	上海市甬协公益基金会
251	上海市甬协公益基金会	2015	84	53310000501779964P	上海市甬协公益基金会
252	上海市科普基金会	2013	85	53310000501779454A	上海市科普基金会
253	上海市科普基金会	2014	85	53310000501779454A	上海市科普基金会
254	上海市科普基金会	2015	85	53310000501779454A	上海市科普基金会
255	上海市老年基金会	2013	86	5331000050177344XB	上海市老年基金会
256	上海市老年基金会	2014	86	5331000050177344XB	上海市老年基金会
257	上海市老年基金会	2015	86	5331000050177344XB	上海市老年基金会
258	上海市职工帮困基金会	2013	87	5331000050177299XM	上海市职工帮困基金会
259	上海市职工帮困基金会	2014	87	5331000050177299XM	上海市职工帮困基金会
260	上海市职工帮困基金会	2015	87	5331000050177299XM	上海市职工帮困基金会
261	上海市自然与健康基金会	2013	88	53310000501779139N	上海市自然与健康基金会
262	上海市自然与健康基金会	2014	88	53310000501779139N	上海市自然与健康基金会
263	上海市自然与健康基金会	2015	88	53310000501779139N	上海市自然与健康基金会
264	上海市虹口区教育基金会	2013	89	533100005017724208	上海市虹口区教育基金会
265	上海市虹口区教育基金会	2014	89	533100005017724208	上海市虹口区教育基金会
266	上海市虹口区教育基金会	2015	89	533100005017724208	上海市虹口区教育基金会
267	上海市长宁区教育基金会	2013	90	53310000501772623W	上海市长宁区教育基金会
268	上海市长宁区教育基金会	2014	90	53310000501772623W	上海市长宁区教育基金会
269	上海市长宁区教育基金会	2015	90	53310000501772623W	上海市长宁区教育基金会
270	上海市闵行区中小幼教师奖励基金会	2013	91		
271	上海市闵行区中小幼教师奖励基金会	2014	91		
272	上海市闵行区中小幼教师奖励基金会	2015	91		
273	上海市闸北区教育基金会	2013	92	533100005017763099	上海市闸北区教育基金会
274	上海市闸北区教育基金会	2014	92	533100005017763099	上海市闸北区教育基金会
275	上海市闸北区教育基金会	2015	92	533100005017763099	上海市闸北区教育基金会
276	上海市防癌抗癌事业发展基金会	2013	93	533100005017802017	上海市防癌抗癌事业发展基金会
277	上海市防癌抗癌事业发展基金会	2014	93	533100005017802017	上海市防癌抗癌事业发展基金会
278	上海市防癌抗癌事业发展基金会	2015	93	533100005017802017	上海市防癌抗癌事业发展基金会
279	上海市青少年发展基金会	2013	94	53310000501773095F	上海市青少年发展基金会
280	上海市青少年发展基金会	2014	94	53310000501773095F	上海市青少年发展基金会
281	上海市青少年发展基金会	2015	94	53310000501773095F	上海市青少年发展基金会
282	上海市青年创业就业基金会	2013	95	53310000501781175C	上海市青年创业就业基金会
283	上海市青年创业就业基金会	2014	95	53310000501781175C	上海市青年创业就业基金会
284	上海市青年创业就业基金会	2015	95	53310000501781175C	上海市青年创业就业基金会
285	上海市青浦区教育基金会	2013	96	533100005017803248	上海市青浦区教育基金会
286	上海市青浦区教育基金会	2014	96	533100005017803248	上海市青浦区教育基金会
287	上海市青浦区教育基金会	2015	96	533100005017803248	上海市青浦区教育基金会
288	上海市静安区教育基金会	2013	97	533100005017725514	上海市静安区教育基金会
289	上海市静安区教育基金会	2014	97	533100005017725514	上海市静安区教育基金会
290	上海市静安区教育基金会	2015	97	533100005017725514	上海市静安区教育基金会
291	上海市黄浦区教育基金会	2013	98	53310000501772631P	上海市黄浦区教育基金会
292	上海市黄浦区教育基金会	2014	98	53310000501772631P	上海市黄浦区教育基金会
293	上海市黄浦区教育基金会	2015	98	53310000501772631P	上海市黄浦区教育基金会
294	上海师范大学教育发展基金会	2013	99	533100005017808180	上海师范大学教育发展基金会
295	上海师范大学教育发展基金会	2014	99	533100005017808180	上海师范大学教育发展基金会
296	上海师范大学教育发展基金会	2015	99	533100005017808180	上海师范大学教育发展基金会
297	上海应用技术学院教育发展基金会	2013	100		
298	上海应用技术学院教育发展基金会	2014	100		
299	上海应用技术学院教育发展基金会	2015	100		
300	上海志成公益基金会	2013	101	53310000501782477T	上海志成公益基金会
301	上海志成公益基金会	2014	101	53310000501782477T	上海志成公益基金会
302	上海志成公益基金会	2015	101	53310000501782477T	上海志成公益基金会
303	上海思麦公益基金会	2013	102	53310000501781888E	上海思麦公益基金会
304	上海思麦公益基金会	2014	102	53310000501781888E	上海思麦公益基金会
305	上海思麦公益基金会	2015	102	53310000501781888E	上海思麦公益基金会
306	上海恩德公益基金会	2013	103	53310000501781386U	上海恩德公益基金会
307	上海恩德公益基金会	2014	103	53310000501781386U	上海恩德公益基金会
308	上海恩德公益基金会	2015	103	53310000501781386U	上海恩德公益基金会
309	上海慈慧公益基金会	2013	104	53310000501781589G	上海慈慧公益基金会
310	上海慈慧公益基金会	2014	104	53310000501781589G	上海慈慧公益基金会
311	上海慈慧公益基金会	2015	104	53310000501781589G	上海慈慧公益基金会
312	上海慈源爱心基金会	2013	105	5331000050178048XH	上海慈源爱心基金会
313	上海慈源爱心基金会	2014	105	5331000050178048XH	上海慈源爱心基金会
314	上海慈源爱心基金会	2015	105	5331000050178048XH	上海慈源爱心基金会
315	上海文化发展基金会	2013	106	533100005017731160	上海文化发展基金会
316	上海文化发展基金会	2014	106	533100005017731160	上海文化发展基金会
317	上海文化发展基金会	2015	106	533100005017731160	上海文化发展基金会
318	上海文学发展基金会	2013	107	533100005017675762	上海文学发展基金会
319	上海文学发展基金会	2014	107	533100005017675762	上海文学发展基金会
320	上海文学发展基金会	2015	107	533100005017675762	上海文学发展基金会
321	上海新世纪社会发展基金会	2013	108	53310000501773562F	上海新世纪社会发展基金会
322	上海新世纪社会发展基金会	2014	108	53310000501773562F	上海新世纪社会发展基金会
323	上海新世纪社会发展基金会	2015	108	53310000501773562F	上海新世纪社会发展基金会
324	上海新建桥老龄事业发展基金会	2013	109		
325	上海新建桥老龄事业发展基金会	2014	109		
326	上海新建桥老龄事业发展基金会	2015	109		
327	上海新泰高新技术研究与发展基金会	2013	110	53310000501777854J	上海新泰高新技术研究与发展基金会
328	上海新泰高新技术研究与发展基金会	2014	110	53310000501777854J	上海新泰高新技术研究与发展基金会
329	上海新泰高新技术研究与发展基金会	2015	110	53310000501777854J	上海新泰高新技术研究与发展基金会
330	上海明德公益基金会	2013	111	53310000586835071J	上海明德公益基金会
331	上海明德公益基金会	2014	111	53310000586835071J	上海明德公益基金会
332	上海明德公益基金会	2015	111	53310000586835071J	上海明德公益基金会
333	上海曙光中医药研究发展基金会	2013	112	53310000501780906E	上海曙光中医药研究发展基金会
334	上海曙光中医药研究发展基金会	2014	112	53310000501780906E	上海曙光中医药研究发展基金会
335	上海曙光中医药研究发展基金会	2015	112	53310000501780906E	上海曙光中医药研究发展基金会
336	上海有爱公益基金会	2013	113	53310000501781335K	上海有爱公益基金会
337	上海有爱公益基金会	2014	113	53310000501781335K	上海有爱公益基金会
338	上海有爱公益基金会	2015	113	53310000501781335K	上海有爱公益基金会
339	上海木兰教育基金会	2013	114	53310000501780180N	上海木兰教育基金会
340	上海木兰教育基金会	2014	114	53310000501780180N	上海木兰教育基金会
