机构ID	机构名称	报表时间	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
ricf_oid	ba_cn	fp_dt	fa_dine	fa_asine	fa_sine	fa_gse	fa_pine	fa_gine	fa_inine	fa_otine	fa_intoe	fa_accoe	fa_adexe	fa_fuexe	fa_otexe	fa_cotoe	fa_etoue	fa_chase	fa_neche	fa_dinu	fa_asinu	fa_sinu	fa_gsu	fa_pinu	fa_ginu	fa_ininu	fa_otinu	fa_intou	fa_accou	fa_adexu	fa_fuexu	fa_otexu	fa_cotou	fa_etouu	fa_chasu	fa_nechu
28	上海华信公益基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	37546013.35 	0	0		0	0	1157567.14 	169506.73 	38873087.22 	16162267.01	1263523.38 	7388.25 	65402.55 	17498581.19 	0.00 		21374506.03 
29	上海华杰仁爱基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	650000.00 	0	0		0	0	0.00 	0.00 	650000.00 	561826	54639.28 	0.00 	0.00 	616465.28 	0.00 		33534.72 
30	上海发展昆剧基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	100805		0	0	0.00 	40156.53 	140961.53 	222689.58	64485.31 	0.00 	0.00 	287174.89 	0.00 		-146213.36 
31	上海发展研究基金会	2013	300000.00 	0	0		0	0	0	0	300000.00 	229566.70 	24300	0	0	253866.70 	0.00 		46133.3	590000.00 	0	0		0	0	1484408.33 	16766.47 	2091174.80 	1123068.69	803611.05 	0.00 	2535.06 	1929214.80 	0.00 		161960.00 
32	上海同济大学教育发展基金会	2013	68391601.93 	0	0		0	0	0	0	68391601.93 	0.00 	0	0	0	0.00 	50913644.57 		17477957.36	765747.20 	0	0		0	0	0.00 	0.00 	765747.20 	51165689.99	524407.37 	-2583927.19 	0.00 	49106170.17 	-50913644.57 		2573221.60 
33	上海同济高廷耀环保科技发展基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	570000.00 	0	0		0	0	0.00 	300968.92 	870968.92 	752984.32	42059.36 	0.00 	0.00 	795043.68 	0.00 		75925.24 
34	上海向阳公益基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	550000.00 	0	0		0	0	0.00 	0.00 	550000.00 	285000	28320.40 	-14231.55 	0.00 	299088.85 	0.00 		250911.15 
35	上海吴孟超医学科技基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	5067865.14 	0	0		0	0	0.00 	20416.41 	5088281.55 	3992859.66	104690.13 	0.00 	0.00 	4097549.79 	0.00 		990731.76 
36	上海唐君远教育基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	4184516.57 		-4184516.57	5183000.00 	0	0		0	0	6282008.33 	1235429.30 	12700437.63 	14785301.6	5535135.34 	0.00 	181431.00 	20501867.94 	-4184516.57 		-3616913.74 
37	上海商学院教育发展基金会	2013	1000000.00 	0	0		0	0	0	0	1000000.00 	287000.00 	0	0	0	287000.00 	0.00 		713000	571102.00 	0	0		0	0	0.00 	0.00 	571102.00 	62975	1933.00 	-4427.99 	0.00 	60480.01 	0.00 		510621.99 
38	上海喜玛拉雅文化艺术基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	4450000.00 	0	0		0	0	0.00 	0.00 	4450000.00 	6093000	362337.80 	0.00 	606.34 	6455944.14 	0.00 		-2005944.14 
39	上海嘉宝公益基金会	2013	20500000.00 	0	0		0	0	0	0	20500000.00 	1150000.00 	0	0	0	1150000.00 	0.00 		19350000	0.00 	0	0		0	0	0.00 	908289.21 	908289.21 	0	530.00 	0.00 	0.00 	530.00 	0.00 		907759.21 
40	上海国泰君安社会公益基金会	2013	296000.00 	0	0		0	0	0	0	296000.00 	0.00 	0	0	0	0.00 	285000.00 		11000	12071201.42 	0	0		0	0	281038.35 	0.00 	12352239.77 	1308542.2	40483.80 	-4810.75 	59829.94 	1404045.19 	-285000.00 		11233194.58 
41	上海国际经济交流基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	0		0	0	793271.83 	0.00 	793271.83 	585889.8	88097.00 	-607.27 	-32650.04 	640729.49 	0.00 		152542.34 
42	上海复大公益基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	416800.00 	0	0		0	0	0.00 	142319.50 	559119.50 	710000	78474.98 	0.00 	0.00 	788474.98 	0.00 		-229355.48 
43	上海复旦大学教育发展基金会	2013	56983245.58 	0	0		0	0	1546492.55	0	58529738.13 	0.00 	0	0	0	0.00 	47862173.59 		10667564.54	17754.39 	0	0		0	0	675767.90 	2946775.14 	3640297.43 	48124173.59	1654673.33 	275015.48 	0.00 	50053862.40 	-47862173.59 		1448608.62 
44	上海复星公益基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	22846240.00 	0	0		0	0	0.00 	0.00 	22846240.00 	17720922.4	108138.80 	-11147.09 	0.00 	17817914.11 	0.00 		5028325.89 
45	上海夏征农民族文化教育发展基金会	2013	2192282.92 	0	0		0	0	0	0	2192282.92 	2075272.92 	0	0	0	2075272.92 	0.00 		117010	465000.00 	0	0		0	0	0.00 	0.00 	465000.00 	0	221609.63 	-5868.00 	0.00 	215741.63 	0.00 		329600.42 
46	上海外国语大学教育发展基金会	2013	3789026.13 	0	0		0	0	0	0	3789026.13 	3082496.28 	0	0	0	3082496.28 	0.00 		706529.85	600000.00 	0	0		0	0	0.00 	350399.05 	950399.05 	535645.6	34724.70 	0.00 	0.00 	570370.30 	0.00 		380028.75 
48	上海天下文化发展基金会	2013	30000.00 	0	0		0	0	0	0	30000.00 	350000.00 	11500	0	2324.29	363824.29 	0.00 		-333824.29	0.00 	0	0		0	0	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 		0.00 
49	上海宇兴爱心慈善基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	0		0	0	0.00 	4202.32 	4202.32 	0	0.00 	0.00 	0.00 	0.00 	0.00 		4202.32 
50	上海宋庆龄基金会	2013	51914320.24 	0	0		0	0	0	0	51914320.24 	0.00 	0	0	0	0.00 	34945292.31 		16969027.93	137795.04 	0	0		0	0	8084375.70 	239738.45 	8461909.19 	34945462.31	3174112.76 	0.00 	0.00 	38119575.07 	-34945292.31 		5287626.43 
51	上海富国环保公益基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	300000.00 	0	0		0	0	77713.53 	520.38 	378233.91 	221454.63	6480.50 	0.00 	0.00 	227935.13 	0.00 		150298.78 
52	上海工商界爱国建设特种基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	0		0	0	7245999.80 	97979.90 	7343979.70 	5736692.7	1609961.80 	0.00 	664.10 	7347318.60 	0.00 		-3338.90 
53	上海巴斯德健康研究基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	0.00 	0	0		0	16000000	0.00 	399495.53 	16399495.53 	16000000	49051.92 	0.00 	0.00 	16049051.92 	0.00 		350443.61 
54	上海市中小学幼儿教师奖励基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	248050.00 	0	0		0	0	6122780.68 	2071747.96 	8442578.64 	6165188.34	471874.75 	0.00 	0.00 	6637063.09 	0.00 		1805515.55 
55	上海市九段沙湿地自然保护基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	15000.00 	0	0		0	0	0.00 	521363.61 	536363.61 	143464	5906.50 	0.00 	0.00 	149370.50 	0.00 		386993.11 
56	上海市人口福利基金会	2013	7134560.69 	0	0		0	0	0	0	7134560.69 	5393188.30 	0	0	0	5393188.30 	0.00 		1741372.39	455805.00 	0	0		0	0	43890.41 	0.00 	499695.41 	520685	191431.50 	-20182.88 	0.00 	691933.62 	0.00 		-192238.21 
57	上海市体育发展基金会	2013	0.00 	0	0		0	0	0	0	0.00 	0.00 	0	0	0	0.00 	0.00 		0	18925384.10 	0	0		0	4290000	0.00 	0.00 	23215384.10 	24472626.87	1897572.40 	-917647.77 	0.00 	25452551.50 	0.00 		-2237167.40 
