机构ID	数据年度	货币资金	短期投资	应收款项	预付账款	存货	待摊费用	一年内到期的长期债权投资	其他流动资产	流动资产合计	长期股权投资	长期债权投资	其他长期投资	长期投资合计	固定资产原价	累计折旧	固定资产净值	在建工程	文物文化资产	固定资产清理	固定资产合计	无形资产	受托代理资产	资产合计	短期借款	应付款项	应付工资	应交税金	预收帐款	预提费用	预计负债	一年内到期的长期负债	其他流动负债	流动负债合计	长期借款	长期应付款	其他长期负债	长期负债合计	受托代理负债	负债合计	非限定性净资产	限定性净资产	净资产合计	负债和净资产合计
ricf_oid	fp_yr	fp_csh	fp_sti	fp_rec	fp_prp	fp_rm	fp_deex	fp_onin	fp_otfl	fp_tofl	fp_lost	fp_lode	fp_loin	fp_loto	fp_fior	fp_fide	fp_fias	fp_inbu	fp_clas	fp_fifx	fp_fito	fp_noas	fp_agas	fp_asto	fp_shbo	fp_shpa	fp_shsa	fp_shta	fp_fra	fp_prex	fp_prde	fp_ode	fp_otde	fp_flde	fp_lobo	fp_lopa	fp_otld	fp_ldto	fp_agd	fp_det	fp_unls	fp_lims	fp_ntt	fp_tt
954	2013	30790107.75	0	28343	0	0	0	0	0	30818450.75	0	0	0	0	0	0	0	0	0	0	0	0	0	30818450.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30818450.75	0	30818450.75	30818450.75
956	2013	4198615.97	0	0	0	0	0	0	0	4208115.97	0	0	0	0	222272	50057.91	172214.09	0	0	0	172214.09	0	0	4380330.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4380330.06	0	4380330.06	4380330.06
957	2013	12240677.75	0	2000	300000	0	0	0	0	12542677.75	0	0	0	0	668320	185399.01	482920.99	0	0	0	482920.99	0	0	13025598.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13025598.74	0	13025598.74	13025598.74
958	2013	38425076.67	0	0	0	0	0	0	0	38425076.67	0	0	0	0	0	0	0	0	0	0	0	0	0	38425076.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38425076.67	0	38425076.67	38425076.67
959	2013	7461160	0	107380	0	0	0	0	0	7568540	0	0	0	0	2664456	0	2664456	0	0	0	2664456	0	0	10232996	0	33000	0	0	0	0	0	0	0	33000	0	0	0	0	0	33000	10199996	0	10199996	10232996
960	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
961	2013	115228.12	0	2190000	0	0	0	0	0	2305228.12	229310458	0	0	229310458	2827708	1340400.56	1487307.44	0	0	0	1487307.44	0	0	233102993.6	0	5756551.62	0	0	0	0	0	0	0	5756551.62	0	0	0	0	0	5756551.62	227346441.9	0	227346441.9	233102993.6
962	2013	4401565.93	0	500	0	0	0	0	0	4402065.93	0	0	0	0	100000	47496	52504	0	0	0	52504	0	0	4454569.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4454569.93	0	4454569.93	4454569.93
963	2013	539075.53	0	0	618000	0	0	0	0	1157075.53	0	0	0	0	82058	0	82058	0	0	0	82058	0	0	1239133.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1239133.53	1239133.53	1239133.53
964	2013	5000046.86	0	15607	0	0	0	0	0	5029115.86	0	0	0	0	694122.15	491745.48	202376.67	0	0	0	202376.67	0	0	5231492.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5231492.53	0	5231492.53	5231492.53
965	2013	10536711.57	0	0	0	0	0	0	0	10536711.57	0	0	0	0	0	0	0	0	0	0	0	0	0	10536711.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5942125.68	4594585.89	10536711.57	10536711.57
966	2013	12999.74	0	0	5000	0	0	0	0	17999.74	0	0	0	0	267894	110283.16	157610.84	0	0	0	157610.84	0	0	175610.58	0	335463.93	0	0	0	0	0	0	0	335463.93	0	0	0	0	0	335463.93	-159853.35	0	-159853.35	175610.58
967	2013	2096873.36	0	0	0	0	0	0	0	2096873.36	0	0	0	0	0	0	0	0	0	0	0	0	0	2096873.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2096873.36	0	2096873.36	2096873.36
968	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
969	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
970	2013	5004569.57	0	0	0	0	0	0	0	5004569.57	0	0	0	0	0	0	0	0	0	0	0	0	0	5004569.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4569.57	5000000	5004569.57	5004569.57
971	2013	22872815.58	0	305421.72	0	0	0	0	0	23178237.3	0	0	0	0	720342	95910.87	624431.13	0	0	0	624431.13	0	0	23802668.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14236286.84	9566381.59	23802668.43	23802668.43
972	2013	46310.48	4000000	0	0	0	0	0	0	4046310.48	0	0	0	0	0	0	0	0	0	0	0	0	0	4046310.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4046310.48	0	4046310.48	4046310.48
973	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4235.33	4000000	4004235.33	4004235.33
974	2013	4957432.69	0	2468200	0	0	0	0	0	7425632.69	0	0	0	0	0	0	0	0	0	0	0	0	0	7425632.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7425632.69	0	7425632.69	7425632.69
975	2013	4179518.33	0	11000	0	0	0	0	0	4190518.33	0	0	0	0	0	0	0	0	0	0	0	0	0	4190518.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4090518.33	100000	4190518.33	4190518.33
976	2013	2034966.12	0	0	0	0	0	0	0	2034966.12	0	0	0	0	0	0	0	0	0	0	0	0	0	2034966.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406921.42	1628044.7	2034966.12	2034966.12
977	2013	2339752.63	0	0	0	0	2768.64	0	0	2342521.27	0	0	0	0	7850	7457.42	392.58	0	0	0	392.58	0	0	2342913.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2182731.24	160182.61	2342913.85	2342913.85
978	2013	2991413.6	0	0	0	0	0	0	0	2991413.6	0	0	0	0	0	0	0	0	0	0	0	0	0	2991413.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2991413.6	0	2991413.6	2991413.6
979	2013	43380.04	0	175457.56	0	0	0	0	0	218837.6	0	0	0	0	1036627.88	908713.27	127914.61	2825786	33480	0	2987180.61	0	0	3206018.21	0	2000133.95	0	639	0	0	0	0	0	2000772.95	0	0	0	0	0	2000772.95	0	1205245.26	1205245.26	3206018.21
980	2013	122744113.2	0	127380	0	0	0	0	0	122871493.2	0	0	0	0	242153.3	98446.07	143707.23	0	0	0	143707.23	0	0	123015200.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178669.48	122836531	123015200.4	123015200.4
981	2013	87344.69	5000000	0	0	0	0	0	0	5187344.69	0	0	0	0	0	0	0	0	0	0	0	0	0	5187344.69	0	0	3750	0	0	0	0	0	1000000	1003750	0	0	0	0	0	1003750	4183594.69	0	4183594.69	5187344.69
982	2013	2000000	0	0	0	0	0	0	0	2000000	0	0	0	0	0	0	0	0	0	0	0	0	0	2000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000000	2000000	2000000
983	2013	336804.24	0	2185954.5	0	0	0	0	0	2522758.74	0	0	0	0	11504	3048.18	8455.82	0	0	0	8455.82	0	0	2531214.56	0	2755.77	0	5030.22	0	0	0	0	0	7785.99	0	0	0	0	0	7785.99	1723428.57	800000	2523428.57	2531214.56
984	2013	5182467	3250000	1000	0	0	0	0	0	8433467	0	0	0	0	5900	3542	2358	0	0	0	2358	0	0	8435825	0	43852.52	0	-137	0	0	0	0	0	43715.52	0	0	0	0	0	43715.52	0	8392110	8392110	8435825.52
985	2013	2958730.2	0	73646.32	0	0	0	0	0	3032376.52	0	0	0	0	0	0	0	0	0	0	0	0	0	3032376.52	0	150	0	0	0	0	0	0	0	150	0	0	0	0	0	150	1032226.52	2000000	3032226.52	3032376.52
986	2013	4701020.56	0	0	0	0	0	0	0	4701020.56	0	0	0	0	0	0	0	0	0	0	0	0	0	4701020.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201020.56	4500000	4701020.56	4701020.56
987	2013	5184391.37	60608668.21	50000	0	0	0	0	0	65843059.58	0	0	0	0	602572.11	88683.97	513888.14	0	0	0	513888.14	0	0	66356947.72	0	0	0	0	0	0	0	0	0	3000000	0	0	0	0	0	3000000	24502755.97	38854191.75	63356947.72	66356947.72
988	2013	20877057.13	0	0	0	0	0	0	0	20877057.13	0	0	0	0	0	0	0	0	0	0	0	0	0	20877057.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64500.13	20812557	20877057.13	20877057.13
989	2013	11355577.25	0	40000	0	0	0	0	0	11395577.25	200000	864591.26	0	1064591.26	0	0	0	0	0	0	0	0	0	12460168.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7942729.45	4517439.06	12460168.51	12460168.51
990	2013	11888062.29	4842802.44	0	0	0	0	0	0	16730864.73	0	33000000	0	33000000	411201	242113.03	169087.97	0	0	0	169087.97	0	0	49899952.7	0	371368.34	0	0	0	0	0	0	0	371368.34	0	0	0	0	0	371368.34	4497144.36	45031440	49528584.36	49899952.7
991	2013	5195386.99	0	0	0	0	0	0	0	5195386.99	0	21200000	0	21200000	52718	0	52718	0	0	0	52718	0	0	26448104.99	0	0	12100	67200	0	0	0	0	613100.16	692400.16	0	0	0	0	0	692400.16	16184700.12	9571004.71	25755704.83	26448104.99
992	2013	6083374.56	0	2922532	0	0	0	0	0	9005906.56	0	0	0	0	971663.6	203148.28	768515.32	0	0	0	768515.32	0	0	9774421.88	0	50012	0	3640	0	0	0	0	0	53652	0	0	0	0	1047207.5	1100859.5	8673562.38	0	8673562.38	9774421.88
993	2013	12178721.15	0	2500000	0	0	0	0	0	14678721.15	0	0	0	0	1185184.34	221143.88	964040.46	0	0	0	964040.46	0	0	15642761.61	0	0	0	0	0	0	0	0	14600	14600	0	0	0	0	0	14600	15146500.61	481661	15628161.61	15642761.61
995	2013	4060457.31	20000000	46666.67	0	0	0	0	0	24107123.98	0	0	0	0	0	0	0	0	0	0	0	0	0	24107123.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24107123.98	24107123.98	24107123.98
