ricf_oid_2013	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn.1	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use	ricf_oid	ba_uscc
673	北京歌华文化创意产业发展基金会	2013	1041560.0	1041560.0	0.0	1041560.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		2698864.74	2565454.69	55384.77	52836.8								673.0	531100006728020061
674	北京民族文化遗产保护基金会	2013	180000.0	180000.0	0.0	180000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		398392.58	377620.0	13000.0	7772.58								674.0	53110000799004984T
675	北京民生中国书法公益基金会	2013	9000000.0	9000000.0	0.0	9000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1418479.81	1290066.03	0.0	128413.78								675.0	53110000596033945G
676	北京民生文化艺术基金会	2013	84610000.0	84610000.0	0.0	84610000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		86777589.24	86550000.0	126068.73	101520.51								676.0	53110000554801248C
677	北京水墨公益基金会	2013	3020000.0	3020000.0	820000.0	2200000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1519706.88	1320240.55	48000.0	100631.43								677.0	53110000069600709K
678	北京水源保护基金会	2013	6827868.01	3517249.84	108339.12	3408910.72	3310618.17	0.0	3310618.17	0.0	0	0	0	0	0	0	0	0		6947680.98	6660187.21	226520.84	60972.93								678.0	531100006684027126
679	北京永青农村发展基金会	2013	7351750.0	3000.0	3000.0	0.0	7348750.0	0.0	7348750.0	0.0	0	0	0	0	0	0	0	0		5347486.85	5014632.9	203495.46	128658.17								679.0	53110000067251605Q
680	北京河南进京务工创业人员志愿服务基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		682091.31	608667.68	37900.0	29096.65								680.0	53110000558502931M
681	北京济生疼痛医学基金会	2013	992950.0	992950.0	1700.0	991250.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1448515.41	1230035.62	102735.64	7674.0								681.0	5311000056040007XW
682	北京海鹰脊柱健康公益基金会	2013	467000.0	467000.0	95000.0	372000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		784996.71	763683.73	9600.0	11707.48								682.0	531100005790000840
684	北京爱它动物保护公益基金会	2013	4666771.0	4666771.0	626134.0	4040637.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		6798836.14	6280237.89	401307.79	117290.46								684.0	53110000573150276L
685	北京爱心万里公益基金会	2013	6000000.0	6000000.0	0.0	6000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		125175.4	123678.0	0.0	1497.4								685.0	5311000006131613XC
686	北京爱思开幸福公益基金会	2013	2000000.0	0.0	0.0	0.0	2000000.0	0.0	2000000.0	0.0	0	0	0	0	0	0	0	0		0.0	0.0	0.0	0.0								686.0	531100000828198017
687	北京爱晚公益基金会	2013	2000000.0	2000000.0	1500000.0	500000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		2712.25	0.0	0.0	2712.25								687.0	531100000695609038
688	北京环球时报公益基金会	2013	1315170.0	1315170.0	15170.0	1300000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		1307931.1	1305000.0	0.0	2931.1								688.0	531100000573476389
689	北京球爱的天空慈善基金会	2013	1674993.12	1674993.12	1042535.37	632457.75	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		654083.05	464709.3	47712.94	17247.39								689.0	53110000053579650L
690	北京理工大学教育基金会	2013	23694956.81	21042991.44	6569191.46	14473799.98	2651965.37	0.0	2651965.37	0.0	0	0	0	0	0	0	0	0		24636137.41	23636006.13	173338.5	826792.78								690.0	53100000500021676K
691	北京瑞普华老年救助基金会	2013	80000.0	80000.0	0.0	80000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		442628.92	399483.04	35204.38	7941.5								691.0	53110000560359361B
692	北京电影学院教育基金会	2013	5000000.0	5000000.0	3000000.0	2000000.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		675826.59	397504.5	0.0	55777.49								692.0	53110000053557961U
693	北京百度公益基金会	2013	18829138.36	18829138.36	347874.96	18481263.4	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0		21146412.3	20825362.23	2768.0	318282.07								693.0	53110000563603980L
