机构ID	机构名称	数据年度	货币资金	短期投资	应收款项	预付账款	存货	待摊费用	一年内到期的长期债权投资	其他流动资产	流动资产合计	长期股权投资	长期债权投资	其他长期投资	长期投资合计	固定资产原价	累计折旧	固定资产净值	在建工程	文物文化资产	固定资产清理	固定资产合计	无形资产	受托代理资产	资产合计	短期借款	应付款项	应付工资	应交税金	预收帐款 	预提费用	预计负债	一年内到期的长期负债	其他流动负债	流动负债合计	长期借款	长期应付款	其他长期负债	长期负债合计	受托代理负债	负债合计	非限定性净资产	限定性净资产	净资产合计	负债和净资产合计
ricf_id	ba_cn 	fp_yr	fp_csh 	fp_sti 	fp_rec 	fp_prp 	fp_rm 	fp_deex 	fp_onin 	fp_tofl 	fp_tofl 	fp_lost 	fp_lode 	fp_loin 	fp_loto 	fp_fior 	fp_fide 	fp_fias 	fp_inbu 	fp_clas 	fp_fifx 	fp_fito 	fp_noas 	fp_agas 	fp_asto 	fp_shbo 	fp_shpa 	fp_shsa 	fp_shta 	fp_fra 	fp_prex 	fp_prde 	fp_ode 	fp_otde	fp_flde 	fp_lobo 	fp_lopa 	fp_otld 	fp_ldto 	fp_agd 	fp_det 	fp_unls	fp_lims 	fp_ntt 	fp_tt
864	厦门大学陈安国际法学发展基金会	2014	1991212.39	0	90000	0	0.00	0	0	0	2081212.39	0	0	0	0	0	0	0	0	0	0	0	0	0	2081212.39	0	74775.52	0	1137.58		0	0	0	0	75913.1	0	0	0	0	0	75913.1	2005299.29	0	2005299.29	2081212.39
865	厦门工商旅游学校教育基金会	2014	2084371.24	0	0	0	0.00	0	0	0	2084371.24	0	0	0	0	0	0	0	0	0	0	0	0	0	2084371.24	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2084371.24	0	2084371.24	2084371.24
866	厦门市妇女儿童发展基金会	2014	17378467.92	0	0	0	0.00	0	0	0	17378467.92	0	0	0	0	2955290.6	5646.52	2949644.08	0	0	0	2949644.08	0	0	20328112	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	16865238.71	3462873.29	20328112	20328112
867	厦门市教育基金会	2014	143994618.83	42025549.46	183149.54	6000	0.00	0	0	0	186209317.83	186083	0	0	186083	20568774.66	9297476.94	11271297.72	0	0	0	11271297.72	0	0	197666698.55	0	24150	0	0		0	0	0	0	978719.56	0	0	0	0	0	978719.56	39130570.83	157557408.16	196687978.99	197666698.55
868	厦门市红十字基金会	2014	8031405.42	0	0	0	3,043,440.81	50323	0	0	11125169.23	200000	49830090.41	0	50030090.41	1146855	671184.95	475670.05	0	0	0	475670.05	0	0	61630929.69	0	373305.74	0	0		0	0	0	0	373305.74	0	0	0	0	0	373305.74	52216746.08	9040877.87	61257623.95	61630929.69
869	厦门市翔业爱心基金会	2014	5805813.85	0	79241.8	0		0	0	0	5885055.65	0	0	0	0	0	0	0	0	0	0	0	0	0	5885055.65	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	4819339.92	1065715.73	5885055.65	5885055.65
870	厦门市翔安区教育基金会	2014	2521502.7	40000000	0	0	0.00	0	0	0	42521502.7	0	0	0	0	97986	28771	69215	0	0	0	69215	0	0	42590717.7	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	1815786.41	40774931.29	42590717.7	42590717.7
871	厦门市老年基金会	2014	4795587.77	12000000	13453308	0	0.00	0	0	0	30248895.77	1940095.05	36000000	0	37940095.05	40494498.99	7614458.61	32880040.38	0	0	0	32880040.38	0	0	101069031.2	0	10000	0	46.72		0	0	0	0	10046.72	0	0	0	0	283057.81	293104.53	29241202.64	71534724.03	100775926.67	101069031.2
872	厦门市集美社公业基金会	2014	2422642.59	3000000	0	0	0.00	0	0	0	5422642.59	0	0	0	0	46735	45955	780	0	0	0	780	0	0	5423422.59	0	0	0	0		0	0	0	0	181506.95	0	0	0	0	0	181506.95	5241915.64	0	5241915.64	5423422.59
873	厦门市革命传统教育发展基金会	2014	2651813.28	0	0	0	0.00	0	0	0	2651813.28	0	0	0	0	0	0	0	0	0	0	0	0	0	2651813.28	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2462013.28	189800	2651813.28	2651813.28
