机构ID	机构名称	数据年度	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	其他支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_id	ba_cn 	fp_yr	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_othex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
1674	徐州市铜山区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		9,300.00	9,000.00	0.00	300.00	0.00							
1675	徐州幼儿师范高等专科学校教育发展基金会	2014	820,000.00	820,000.00	0.00	820,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		772,040.45	325,600.00	0.00	2,040.45	444,400.00							
1676	德州市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		395,248.14	365,392.50	12,000.00	10,625.14	7,230.50							
1677	德康博爱基金会	2014	150,000.00	150,000.00	0.00	150,000.00	0.00	0.00	0.00	0.00	13,984,797.00	13,984,797.00	0.00	13,984,797.00	0.00	0.00	0.00	0.00		19,991,655.99	19,681,263.00	193,648.62	116,744.37	0.00							
1678	德清县人民教育基金会	2014	538,800.00	538,800.00	0.00	538,800.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		704,789.60	658,969.60	0.00	44,000.00	1,820.00							
1679	德阳市教育基金会	2014	2,047,897.81	2,047,897.81	14,000.00	2,033,897.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,565,886.59	3,393,303.00	118,148.56	21,355.21	0.00							
1680	心平公益基金会	2014	28,000,605.00	28,000,605.00	0.00	28,000,605.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		28,238,705.48	31,150,435.21	737,036.46	255,436.95	79,760.92							
1681	思利及人公益基金会	2014	5,035,166.07	5,035,166.07	452,503.50	4,582,662.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,151,007.50	2,117,735.00	0.00	33,272.50	0.00							
1684	惠州市惠城区爱心教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	237,000.00	237,000.00	0.00	237,000.00	0.00	0.00	0.00	0.00		386,541.00	380,350.00	0.00	6,191.00	0.00							
1685	惠州市金盾公安民警救助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8,140,000.00	8,140,000.00	0.00	8,140,000.00	0.00	0.00	0.00	0.00		1,513,193.90	1,509,400.00	0.00	3,793.90	0.00							
1686	慈济慈善事业基金会	2014	129,554,327.07	47,604,965.67	43,567,097.43	4,037,868.24	81,949,361.40	23,348,423.52	58,600,937.88	0.00	98,785.84	0.00	0.00	0.00	98,785.84	0.00	98,785.84	0.00		84,323,747.64	81,797,924.66	1,923,074.57	600,696.45	2,051.96							
1687	慈溪市人民教育基金会	2014	2,205,140.61	2,205,140.61	0.00	2,205,140.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,194,623.50	1,182,278.00	0.00	12,345.50	0.00							
1688	慈溪市老龄事业发展基金会	2014	1,476,270.00	1,476,270.00	1,476,270.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,087,152.01	3,087,152.01	0.00	0.00	0.00							
1689	成都信息工程学院科技教育基金会	2014	65,497.00	65,497.00	65,497.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		254,935.14	243,000.00	2,400.00	9,535.14	0.00							
1691	成都大熊猫繁育研究基金会	2014	27,200,203.95	5,508,152.20	4,583,114.20	925,038.00	21,692,051.75	13,990,742.69	7,701,309.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		27,362,397.92	25,415,543.26	1,420,576.91	526,277.75	0.00							
1692	成都市成华区爱心教育基金会	2014	5,096,464.60	5,096,464.60	0.00	5,096,464.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,150,250.41	2,141,258.41	0.00	8,992.00	0.00							
1693	成都市教育基金会	2014	5,889,484.54	5,804,964.74	116,000.00	5,688,964.74	84,519.80	84,519.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,510,759.30	5,144,068.90	306,111.69	60,578.71	0.00							
1694	成都市武侯区教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00							
1695	成都市残疾人福利基金会	2014	2,863,413.27	2,863,413.27	0.00	2,863,413.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		7,310,439.74	7,310,439.74	228,194.21	56,459.16	-284,653.37							
1697	成都市老龄事业发展基金会	2014	337,880.60	337,880.60	17,880.60	320,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		937,136.10	871,736.96	38,775.07	26,624.07	0.00							
1698	成都市育汉教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		177,394.00	170,000.00	0.00	7,394.00	0.00							
1699	成都市见义勇为基金会	2014	100,000.00	100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		369,475.47	339,000.00	0.00	30,475.47	0.00							
1700	成都市锦江区社会组织发展基金会	2014	189,072.00	189,072.00	45,401.00	143,671.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,876,642.35	6,300,388.55	426,007.90	148,715.90	0.00							
1701	成都市青少年发展基金会	2014	69,532.80	69,532.80	8,100.00	61,432.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		536,199.88	501,387.78	6,000.00	28,812.10	0.00							
1702	成都市龙泉驿区关心下一代基金会	2014	15,400,000.00	15,400,000.00	15,400,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,898,087.00	3,898,087.00	0.00	0.00	0.00							
1703	成都理工大学教育发展基金会	2014	230,100.00	230,100.00	100.00	230,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		210,925.00	210,000.00	0.00	925.00	0.00							
1704	成都鸿鹄教育基金会	2014	200,000.00	200,000.00	0.00	200,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		195,437.35	176,787.35	15,600.00	3,050.00	0.00							
1705	成都贺麟教育基金会	2014	1,053,115.00	1,053,115.00	840,000.00	213,115.00	0.00	0.00	0.00	0.00	285,000.00	285,000.00	285,000.00	0.00	0.00	0.00	0.00	0.00		558,962.70	448,318.00	105,300.00	4,483.20	861.50							
1706	扬中市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		394,067.27	202,995.00	0.00	62,072.27	129,000.00							
1707	扬州大学教育发展基金会	2014	8,989,023.63	8,989,023.63	790,954.00	8,198,069.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		29,457,756.51	29,442,810.75	0.00	14,945.76	0.00							
1708	扬州市教育发展基金会	2014	13,629,039.00	13,629,039.00	0.00	13,629,039.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		16,795,493.90	16,750,000.00	39,207.90	6,286.00	0.00							
1709	扬州市残疾人福利基金会	2014	648,988.40	648,988.40	0.00	648,988.40	0.00	0.00	0.00	0.00	190,000.00	190,000.00	0.00	190,000.00	0.00	0.00	0.00	0.00		1,103,794.11	1,038,931.34	35,300.00	14,843.45	14,719.32							
1710	扬州市江都区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		340,625.40	270,479.14	37,780.00	32,366.26	0.00							
1711	扬州市禹振飞慈善基金会	2014	8,000,000.00	8,000,000.00	0.00	8,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,315,093.40	2,214,000.00	66,620.00	32,487.40	1,986.00							
1712	扬州市翔宇妇女儿童基金会	2014	1,754,942.66	1,754,942.66	1,754,942.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,199,557.90	1,152,308.90	14,400.00	31,349.00	1,500.00							
1713	扬州市见义勇为基金会	2014	26,630,500.00	26,630,500.00	21,938,000.00	4,692,500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,732,033.81	6,247,437.00	284,000.00	137,974.81	62,622.00							
1714	扬州文峰慈善基金会	2014	3,836,773.60	3,836,773.60	671,773.60	3,165,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		513,946.80	450,304.20	47,992.70	1,345.00	14,304.90							
1715	抚顺市公安民警救助基金会	2014	3,240,400.00	3,240,400.00	724,300.00	2,516,100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,446,886.47	5,405,900.00	27,600.00	13,386.47	0.00							
1716	抚顺市雷锋基金会	2014	325,640.00	325,640.00	325,640.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		154,385.10	140,000.00	10,000.00	4,385.10	0.00							
