机构ID	机构名称	数据年度	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	其他支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_id	ba_cn 	fp_yr	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_othex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
623	北京市红十字基金会	2014	20,050,980.16	20,050,980.16	108,478.27	19,942,501.89	0.00	0.00	0.00	0.00	157,754,940.00	157,754,940.00	0.00	157,754,940.00	0.00	0.00	0.00	0.00		181,890,157.35	181,085,471.17	453,615.33	347,874.85	3,196.00							
624	北京市美疆助学基金会	2014	7,868,257.92	6,859,137.53	731,674.03	6,127,463.50	1,009,120.39	378,288.85	630,831.54	0.00	3,210.00	3,210.00	0.00	3,210.00	0.00	0.00	0.00	0.00		6,497,583.42	4,770,089.10	12,000.00	224,341.48	1,491,152.84							
625	北京市育英学校校友促进教育基金会	2014	705,500.00	705,500.00	105,500.00	600,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,161,865.78	1,081,638.90	63,200.00	17,026.88	0.00							
626	北京市董辅礽经济科学发展基金会	2014	4,545,000.00	4,545,000.00	1,445,000.00	3,100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		544,755.61	363,826.60	28,625.00	13,255.20	139,048.81							
627	北京市西部阳光农村发展基金会	2014	17,110,484.65	11,796,573.08	1,581,013.35	10,215,559.73	5,313,911.57	485,310.06	4,828,601.51	0.00	90,000.00	90,000.00	0.00	90,000.00	0.00	0.00	0.00	0.00		14,796,802.46	14,480,884.53	1,229,687.64	68,975.24	-982,744.95							
628	北京市金杜公益基金会	2014	662,800.00	662,800.00	130,200.00	532,600.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,058,971.00	1,041,200.00	0.00	17,771.00	0.00							
629	北京市长江科技扶贫基金会	2014	5,915,735.83	5,915,735.83	3,459,786.83	2,455,949.00	0.00	0.00	0.00	0.00	2,444,387.96	2,444,387.96	0.00	2,444,387.96	0.00	0.00	0.00	0.00		22,886,897.01	22,550,485.59	284,543.21	169,134.74	2,286.82							
630	北京市阳光保险爱心基金会	2014	8,600,000.00	8,600,000.00	0.00	8,600,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,847,241.00	6,829,665.00	0.00	17,076.00	500.00							
631	北京市陆学艺社会学发展基金会	2014	48,732.00	48,732.00	48,732.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		160,666.91	160,666.91	0.00	0.00	0.00							
632	北京市黄胄美术基金会	2014	4,456,500.00	4,456,500.00	4,456,500.00	0.00	0.00	0.00	0.00	0.00	1,797,319.26	1,797,319.26	244,520.00	1,552,799.26	0.00	0.00	0.00	0.00		5,388,001.88	5,071,921.20	185,171.38	130,909.30	0.00							
633	北京师范大学教育基金会	2014	122,265,999.21	103,575,787.31	7,910,824.10	95,664,963.21	18,690,211.90	39,620.00	18,650,591.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		107,585,511.51	104,127,539.45	1,487,986.60	1,064,838.03	0.00							
634	北京幽兰文化基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,889,454.50	3,615,309.33	227,028.12	0.00	47,117.05							
635	北京康万家慈善基金会	2014	170,000.00	170,000.00	0.00	170,000.00	0.00	0.00	0.00	0.00	28,000.00	28,000.00	28,000.00	0.00	0.00	0.00	0.00	0.00		195,529.24	188,000.00	0.00	7,529.24	0.00							
636	北京康盟慈善基金会	2014	22,196,456.13	22,196,456.13	0.00	22,196,456.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		24,222,869.05	22,621,321.49	414,576.90	1,181,659.66	5,311.00							
637	北京弘毅慈善基金会	2014	2,915,689.55	2,225,308.00	1,622,854.00	602,454.00	690,381.55	690,381.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,305,383.08	3,210,000.00	0.00	93,176.07	2,207.01							
638	北京当代艺术基金会	2014	1,255,900.07	1,255,900.07	27,600.07	1,228,300.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,548,058.12	2,866,023.71	671,191.80	2,998.48	7,844.13							
639	北京彩虹公益基金会	2014	3,804,203.73	3,804,203.73	352,904.30	3,451,299.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,007,529.81	3,638,971.40	354,889.83	12,899.00	0.00							
640	北京彩虹桥慈善基金会	2014	1,016,177.25	1,016,177.25	866,177.25	150,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,889,442.83	1,702,594.26	184,826.13	1,067.74	954.70							
641	北京德恒公益基金会	2014	518,000.00	518,000.00	0.00	518,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		494,398.36	470,000.00	23,357.00	0.00	1,041.36							
642	北京志愿服务基金会	2014	100,000.00	100,000.00	100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		13,804,623.85	13,760,901.05	0.00	43,503.80	219.00							
643	北京志远功臣关爱基金会	2014	19,858,750.00	19,858,750.00	5,600,000.00	14,258,750.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		8,445,187.18	8,063,144.46	343,862.76	162,629.66	1,550.30							
644	北京怡海公益基金会	2014	815,890.00	815,890.00	91,000.00	724,890.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		901,607.06	890,122.20	0.00	10,160.00	1,324.86							
645	北京惠兰医学基金会	2014	183,294.80	183,294.80	183,294.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		191,850.94	183,294.80	0.00	2,056.14	11,056.14							
646	北京感恩公益基金会	2014	1,154,526.01	1,154,526.01	43,700.01	1,110,826.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,953,693.04	2,696,076.16	148,531.73	103,144.15	5,941.00							
647	北京慈寿公益基金会	2014	20,000.00	20,000.00	20,000.00	0.00	0.00	0.00	0.00	0.00	213,000.00	213,000.00	0.00	213,000.00	0.00	0.00	0.00	0.00		241,233.50	213,000.00	21,286.00	2,603.00	4,344.50							
648	北京慈弘慈善基金会	2014	4,198,456.95	4,198,456.95	0.00	4,198,456.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,185,219.15	4,143,880.00	9,600.00	31,539.12	200.03							
649	北京慧众慈善基金会	2014	2,374,600.00	2,374,600.00	2,322,100.00	52,500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,196,984.22	1,163,773.89	0.00	33,210.33	0.00							
650	北京憨福儿公益基金会	2014	132,912.00	132,912.00	0.00	132,912.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		194,870.00	191,370.00	0.00	3,500.00	0.00							
651	北京戏曲艺术教育基金会	2014	3,500.00	3,500.00	3,500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		920,252.38	830,316.87	71,750.00	18,185.51	0.00							
652	北京成达教育基金会	2014	213,200.00	213,200.00	171,200.00	42,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		229,857.74	215,260.00	0.00	14,443.48	154.26							
653	北京成龙慈善基金会	2014	47,376,944.92	46,430,684.03	1,895,807.03	44,534,877.00	946,260.89	1,000.00	945,260.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		11,583,890.21	11,163,346.22	267,153.95	147,837.94	5,552.10							
654	北京扶助贫困儿童就医健康基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00							
655	北京探路者公益基金会	2014	6,010,000.00	6,010,000.00	6,010,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,212,500.23	6,210,000.00	0.00	2,500.23	0.00							
656	北京故宫文物保护基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15,000,000.00	15,000,000.00	0.00	15,000,000.00	0.00	0.00	0.00	0.00		15,659,998.50	15,498,248.62	90,577.68	71,172.20	0.00							
657	北京教育科学研究优秀成果奖励基金会	2014	829,358.36	829,358.36	0.00	829,358.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		686,570.03	618,500.03	39,900.00	28,170.00	0.00							
658	北京文化发展基金会	2014	7,300,500.02	7,300,500.02	0.00	7,300,500.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		10,602,515.70	10,153,255.67	382,622.61	66,637.42	0.00							
659	北京文化艺术基金会	2014	5,910,000.00	5,910,000.00	0.00	5,910,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,739,856.51	4,553,992.66	160,774.74	25,089.11	0.00							
660	北京文物保护基金会	2014	230,000.00	230,000.00	80,000.00	150,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		416,949.03	400,000.00	22,850.00	21,419.91	-27,320.88							
661	北京新发展慈善基金会	2014	150,000.00	150,000.00	0.00	150,000.00	0.00	0.00	0.00	0.00	20,000.00	20,000.00	0.00	20,000.00	0.00	0.00	0.00	0.00		174,872.64	165,000.00	0.00	7,950.64	1,922.00							
662	北京梦无缺慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		303,226.88	300,000.00	0.00	0.00	3,226.88							
663	北京新阳光慈善基金会	2014	11,267,080.38	11,267,080.38	4,948,882.65	6,318,197.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		9,918,257.21	9,562,283.58	1,087,582.60	89,595.16	130,744.73							
664	北京春晖博爱儿童救助公益基金会	2014	20,496,013.39	20,388,602.59	1,951,931.13	18,436,671.46	107,410.80	101,430.12	5,980.68	0.00	719,132.53	719,132.53	0.00	719,132.53	0.00	0.00	0.00	0.00		20,972,956.29	19,704,055.48	856,741.96	385,779.51	26,379.34							
665	北京春苗儿童救助基金会	2014	24,092,829.83	24,092,829.83	0.00	24,092,829.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		19,077,647.21	18,528,658.19	548,053.02	936.00	0.00							
666	北京晓星芭蕾艺术发展基金会	2014	43,413,362.31	0.00	0.00	0.00	43,413,362.31	0.00	43,413,362.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		7,941,762.17	7,299,300.89	485,188.93	157,272.35	0.00							
667	北京景山教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		12,225,070.57	11,992,810.68	145,716.00	86,543.89	0.00							
668	北京曹雪芹文化发展基金会	2014	14,500,000.00	14,500,000.00	0.00	14,500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,592,350.75	5,190,189.47	214,144.08	212,017.20	0.00							
669	北京杏霖健康公益基金会	2014	699,800.00	699,800.00	100,000.00	599,800.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		763,749.15	603,325.84	151,033.35	4,438.96	4,951.00							
670	北京林业大学教育基金会	2014	18,043,980.00	18,043,980.00	782,500.00	17,261,480.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,784,474.29	4,688,929.24	0.00	95,545.05	0.00							
671	北京桂馨慈善基金会	2014	15,512,789.78	13,492,812.96	6,854,288.99	6,638,523.97	2,019,976.82	1,892,928.31	127,048.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		4,397,782.80	3,958,746.41	295,054.82	143,981.57	0.00							
672	北京桥爱慈善基金会	2014	570,000.00	570,000.00	0.00	570,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		566,148.67	522,170.08	0.00	43,532.20	446.39							
673	北京歌华文化创意产业发展基金会	2014	1,000,000.00	1,000,000.00	0.00	1,000,000.00	0.00	0.00	0.00	0.00	210,000.00	210,000.00	0.00	210,000.00	0.00	0.00	0.00	0.00		748,388.25	210,000.00	0.00	36,099.69	502,288.56							
674	北京民族文化遗产保护基金会	2014	680,000.00	680,000.00	0.00	680,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		390,174.31	351,392.20	33,322.11	5,460.00	0.00							
675	北京民生中国书法公益基金会	2014	1,000,000.00	1,000,000.00	0.00	1,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,625,380.34	2,596,798.15	227,376.64	28,582.19	0.00							
676	北京民生文化艺术基金会	2014	189,000,000.00	189,000,000.00	0.00	189,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		155,491,751.12	154,776,300.00	549,619.81	165,831.31	0.00							
677	北京水墨公益基金会	2014	2,600,500.00	2,600,500.00	500.00	2,600,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		437,693.71	336,179.60	57,600.00	34,636.25	0.00							
678	北京水源保护基金会	2014	6,126,264.34	2,604,579.80	146,610.63	2,457,969.17	3,521,684.54	3,521,684.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,406,126.91	6,001,394.57	317,748.24	86,984.10	0.00							
679	北京永青农村发展基金会	2014	10,100,600.00	0.00	0.00	0.00	10,100,600.00	600.00	10,100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		10,107,497.94	9,654,653.74	373,435.20	79,409.00	0.00							
680	北京河南进京务工创业人员志愿服务基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		471,799.67	425,422.17	44,614.50	1,763.00	0.00							
681	北京济生疼痛医学基金会	2014	468,750.00	468,750.00	0.00	468,750.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,119,214.92	1,053,981.59	37,752.36	910.00	26,570.97							
682	北京海鹰脊柱健康公益基金会	2014	321,671.50	321,671.50	321,671.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		988,074.83	972,524.10	15,480.73	0.00	70.00							
684	北京爱它动物保护公益基金会	2014	1,514,841.99	1,514,841.99	440,600.92	1,074,241.07	0.00	0.00	0.00	0.00	5,212,867.00	5,212,867.00	0.00	5,212,867.00	0.00	0.00	0.00	0.00		6,743,264.87	6,327,836.31	340,817.30	74,611.26	0.00							
685	北京爱心万里公益基金会	2014	1,700,000.00	1,700,000.00	450,000.00	1,250,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		496,692.96	471,853.56	0.00	24,839.40	0.00							
686	北京爱思开幸福公益基金会	2014	6,153,969.61	2,000,000.00	0.00	2,000,000.00	4,153,969.61	0.00	4,153,969.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,627,834.09	1,600,040.51	127,025.00	12,793.58	0.00							
687	北京爱晚公益基金会	2014	200,000.00	200,000.00	0.00	200,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		202,306.00	190,000.00	0.00	12,306.00	0.00							
688	北京环球时报公益基金会	2014	306,000.00	306,000.00	6,000.00	300,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		311,445.00	300,000.00	0.00	11,445.00	0.00							
689	北京球爱的天空慈善基金会	2014	775,146.23	690,071.61	459,350.61	230,721.00	85,074.62	85,074.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,034,477.32	954,252.80	52,656.23	14,128.29	13,440.00							
690	北京理工大学教育基金会	2014	20,688,170.27	14,883,500.89	1,193,584.79	13,689,916.10	5,804,669.38	0.00	5,804,669.38	0.00	0.00	0.00	14,470,602.51	0.00	0.00	5,804,669.38	0.00	0.00		15,758,489.71	14,811,264.15	412,737.24	534,488.32	0.00							
691	北京瑞普华老年救助基金会	2014	801,625.21	801,625.21	801,625.21	0.00	0.00	0.00	0.00	0.00	52,920.00	52,920.00	52,920.00	0.00	0.00	0.00	0.00	0.00		1,033,726.49	945,073.17	40,354.62	48,298.70	0.00							
692	北京电影学院教育基金会	2014	36,848,565.30	36,848,565.30	100,000.00	36,748,565.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,907,429.79	1,519,500.00	0.00	112,458.51	275,471.28							
693	北京百度公益基金会	2014	17,519,010.00	17,519,010.00	719,010.00	16,800,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		16,319,087.69	16,039,057.99	89,068.12	190,961.58	0.00							
694	北京百高建筑科技基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00							
695	北京益公公益基金会	2014	2,005,000.00	2,005,000.00	2,005,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		479,923.72	234,709.79	131,089.00	500.00	0.00							
696	北京祥和公益基金会	2014	49,200.00	49,200.00	29,200.00	20,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		396,032.97	352,500.00	6,706.55	31,166.62	5,659.80							
697	北京科学教育发展基金会	2014	35,978,589.01	35,978,589.01	0.00	35,978,589.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		41,378,809.41	39,098,916.02	1,261,313.67	1,018,579.72	0.00							
698	北京科技大学教育发展基金会	2014	17,525,802.66	17,525,802.66	7,944,202.66	9,581,600.00	0.00	0.00	0.00	0.00	4,000,000.00	4,000,000.00	0.00	4,000,000.00	0.00	0.00	0.00	0.00		11,996,972.31	11,502,870.32	0.00	494,101.99	0.00							
699	北京第二外国语学院教育发展基金会	2014	659,750.00	659,750.00	160,750.00	499,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		278,576.93	273,506.03	0.00	5,070.90	0.00							
700	北京精瑞人居发展基金会	2014	1,958,020.17	1,952,020.17	129,540.17	1,822,480.00	6,000.00	0.00	6,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,851,335.70	1,730,033.16	96,802.48	24,256.03	244.03							
701	北京紫檀文化基金会	2014	4,300,000.00	4,300,000.00	100,000.00	4,200,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,230,015.42	1,124,824.00	85,370.61	19,250.81	570.00							
702	北京红社会公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,304,000.00	2,304,000.00	0.00	2,304,000.00	0.00	0.00	0.00	0.00		1,800,325.80	1,800,000.00	0.00	0.00	325.80							
703	北京绿化基金会	2014	2,848,517.87	2,848,517.87	10,696.38	2,837,821.49	0.00	0.00	0.00	0.00	579,960.00	579,960.00	0.00	579,960.00	0.00	0.00	0.00	0.00		4,517,865.73	4,147,545.53	72,000.00	144,864.20	153,456.00							
704	北京绿能煤炭经济研究基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,169,651.93	1,064,169.00	78,477.29	21,492.61	5,513.03							
705	北京绿色未来环境基金会	2014	39,600.00	39,600.00	0.00	39,600.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,796,730.41	1,780,823.40	15,467.01	0.00	440.00							
706	北京绿谷教育基金会	2014	220,000.00	220,000.00	0.00	220,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		13,250.00	600.00	0.00	12,650.00	0.00							
707	北京美新路公益基金会	2014	689,049.49	462,891.05	18,174.25	444,716.80	226,158.44	0.00	226,158.44	0.00	3,000.00	3,000.00	0.00	3,000.00	0.00	0.00	0.00	0.00		577,977.63	519,703.05	4,359.00	53,351.43	564.15							
708	北京老舍文艺基金会	2014	1,194,204.44	1,194,204.44	1,193,204.44	1,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		930,369.63	896,950.48	12,616.13	20,803.02	0.00							
709	北京联想控股公益基金会	2014	3,590,000.00	3,590,000.00	0.00	3,590,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		6,578,694.00	6,563,060.00	0.00	15,223.00	411.00							
710	北京联益慈善基金会	2014	6,219,907.75	4,981,538.15	3,588,014.05	1,393,524.10	1,238,369.60	0.00	1,238,369.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,045,395.06	2,742,522.62	226,299.96	76,572.48	0.00							
711	北京自然之友公益基金会	2014	801,939.49	646,541.99	185,062.03	461,479.96	155,397.50	0.00	155,397.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		800,497.38	729,131.46	0.00	71,365.92	0.00							
712	北京航空航天大学教育基金会	2014	17,186,636.84	16,229,500.00	2,360,000.00	13,869,500.00	957,136.84	0.00	957,136.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		42,959,526.40	42,050,554.87	367,590.00	650,356.03	-108,974.50							
713	北京艺美公益基金会	2014	280,000.00	280,000.00	0.00	280,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		280,000.00	258,626.00	0.00	21,300.00	74.00							
714	北京艺能爱心基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		274,737.40	250,000.00	5,000.00	18,450.40	1,287.00							
715	北京节能与电力技术开发基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		214,387.94	159,377.38	0.00	7,263.00	47,747.56							
716	北京苹果慈善基金会	2014	5,674,959.09	5,674,959.09	53,697.00	5,621,262.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		5,320,337.48	4,791,360.94	334,158.69	193,234.11	1,583.74							
717	北京茅以升科技教育基金会	2014	2,208,930.00	2,208,930.00	5,000.00	2,203,930.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,481,175.41	2,225,363.29	122,212.03	123,513.85	10,086.24							
718	北京荷风艺术基金会	2014	2,121,974.92	2,121,974.92	2,121,974.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		2,901,735.42	2,167,327.04	213,178.71	521,229.67	0.00							
719	北京蔚蓝公益基金会	2014	85,001.00	85,001.00	19,000.00	66,001.00	0.00	0.00	0.00	0.00	15,251,575.34	15,251,575.34	0.00	15,251,575.34	0.00	0.00	0.00	0.00		15,364,456.72	15,289,777.88	0.00	74,486.50	192.34							
720	北京观复文化基金会	2014	640,000.00	640,000.00	0.00	640,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		557,519.00	550,000.00	0.00	0.00	7,519.00							
721	北京詹天佑土木工程科学技术发展基金会	2014	4,117,000.00	4,117,000.00	0.00	4,117,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		3,066,420.13	3,059,612.99	0.00	6,722.00	85.14							
722	北京语言大学教育基金会	2014	1,065,600.00	1,065,600.00	55,600.00	1,010,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		330,901.00	330,841.00	0.00	60.00	0.00							
723	北京财贸学院校友促进教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		497,340.04	443,442.00	32,374.04	13,524.00	8,000.00							
724	北京远洋之帆公益基金会	2014	7,095,698.29	7,095,698.29	0.00	7,095,698.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		7,139,524.78	6,467,009.20	0.00	540,450.67	132,064.91							
725	北京邮电大学教育基金会	2014	4,050,299.95	4,050,299.95	986,609.97	3,063,689.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		9,392,042.65	9,269,026.72	72,800.00	58,615.93	-8,400.00							
726	北京郑杭生社会发展基金会	2014	505,000.00	505,000.00	200,000.00	305,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		553,442.60	539,202.00	0.00	14,240.60	0.00							
727	北京郭应禄泌尿外科发展基金会	2014	3,300,000.00	3,300,000.00	3,300,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		216,676.00	211,190.00	0.00	5,486.00	0.00							
728	北京金榜题名慈善基金会	2014	163,539.00	163,539.00	163,539.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		192,095.80	178,139.00	0.00	13,289.00	667.80							
729	北京金融街慈善基金会	2014	1,514,108.00	1,514,108.00	128,873.00	1,385,235.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		1,731,404.48	1,478,000.00	0.00	11,690.00	241,714.48							
